district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bajali,34,341,714.04,"2,373","2,988.98",243,"1,219.25","1,599","4,050.44"
Baksa,35,209,679.58,"1,271","3,168.67","1,032","4,095.55","7,179","18,746.39"
Barpeta,93,"1,240","2,500.51","5,669","6,910.99",408,"2,134.49","2,967","7,820.90"
Biswanath,62,772,"1,472.89","5,379","6,385.86",633,"1,756.82","9,245","10,114.30"
Bongaigaon,66,"1,133","2,635.40","5,177","10,006.07",791,"5,506.64","5,547","20,914.03"
Cachar,169,"6,292","7,779.26","22,822","24,299.76",800,"2,144.89","4,002","9,830.97"
Charaideo,37,120,311.05,816,"1,212.99",114,465.60,802,"2,054.46"
Chirang,40,667,"1,051.87","2,560","3,423.51","1,925","8,727.86","15,242","31,555.10"
Darrang,70,349,795.58,"2,254","3,069.94",296,"1,145.22","1,926","3,935.89"
Dhemaji,50,445,"1,925.80","4,002","6,503.83","3,634","14,376.55","24,499","53,900.85"
Dhubri,89,836,"1,889.93","3,982","5,454.18",236,955.26,"3,622","4,865.11"
Dibrugarh,187,"2,217","4,760.80","9,940","17,410.65","3,089","9,991.17","13,330","34,638.53"
Dima Hasao,33,91,333.62,562,"1,577.24","1,315","5,882.04","6,898","23,823.90"
Goalpara,72,545,"1,130.07","2,924","4,474.42","1,783","4,264.17","10,478","16,754.16"
Golaghat,126,"1,798","3,001.14","8,441","10,682.31","1,683","5,109.02","12,748","19,885.73"
Hailakandi,48,851,"1,500.79","3,497","4,674.94",136,424.53,878,"1,630.75"
Hojai,65,"1,329","2,492.04","6,425","8,461.05",524,"2,266.87","3,126","7,345.33"
Jorhat,141,"1,624","3,791.72","9,530","14,686.91","1,813","5,573.11","13,979","23,363.37"
Kamrup Metro,175,"2,474","4,022.67","11,654","12,933.38","2,691","5,858.18","14,057","23,471.23"
Karbi Anglong,65,241,"1,335.50","1,503","4,085.52","4,160","15,975.15","21,307","59,628.88"
Kokrajhar,58,704,"2,258.31","2,819","5,960.91","4,165","21,552.26","24,729","77,745.60"
Lakhimpur,91,"1,421","3,768.53","9,159","13,482.03","4,362","12,189.49","26,450","50,683.73"
Majuli,16,145,503.76,"1,900","2,857.88",567,"2,471.66","4,856","11,393.55"
Morigaon,70,812,"1,431.86","6,592","7,500.72","1,609","3,940.34","12,309","15,609.35"
Nagaon,153,"2,242","5,141.01","12,720","15,578.95","1,563","5,103.62","8,796","16,695.76"
Nalbari,86,621,"1,831.18","4,043","6,294.99",453,"1,250.34","2,782","6,205.51"
Sivasagar,102,995,"3,150.93","5,451","9,837.33",848,"3,697.07","4,379","11,496.87"
Sonitpur,132,"1,608","3,623.31","7,461","12,925.87","1,593","5,712.08","9,340","19,649.34"
South Salmara,14,17,73.25,96,286.58,29,139.93,125,396.29
Tamulpur,21,142,610.42,"1,601","2,328.63",599,"2,687.68","4,867","11,609.65"
Tinsukia,153,862,"2,093.64","4,908","8,290.54","1,798","7,164.79","9,012","24,712.75"
Udalguri,55,429,"1,259.07","2,896","4,154.36","3,988","12,594.16","29,281","48,629.77"
West Karbi Anglong,22,84,263.64,375,875.76,957,"2,808.46","5,234","13,209.38"
