District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Bajali,34,0,0.00,9,34.70,35,100.41,0,0.00,8,2.42,151,60.49,203,198.02
Baksa,35,0,0.00,8,13.92,38,78.02,0,0.00,7,2.64,145,45.11,198,139.69
Barpeta,93,0,0.00,38,115.67,44,178.05,0,0.00,246,115.99,1018,106.54,1346,516.25
Biswanath,62,0,0.00,16,30.34,42,138.68,0,0.00,0,0.00,2052,529.24,2110,698.26
Bongaigaon,66,0,0.00,10,26.93,22,128.24,0,0.00,63,32.91,1044,105.76,1139,293.84
Cachar,169,0,0.00,68,139.61,53,335.57,0,0.00,5,1.53,1980,510.39,2106,987.10
Charaideo,37,0,0.00,9,21.25,7,60.31,0,0.00,16,7.40,506,77.44,538,166.40
Chirang,40,0,0.00,11,23.42,3,11.23,0,0.00,79,15.02,928,78.98,1021,128.65
Darrang,70,0,0.00,24,78.16,68,179.78,0,0.00,25,11.92,1450,294.66,1567,564.52
Dhemaji,50,0,0.00,15,37.99,21,100.60,0,0.00,7,2.12,484,144.67,527,285.38
Dhubri,89,0,0.00,14,49.61,45,117.78,0,0.00,156,96.35,944,247.64,1159,511.38
Dibrugarh,187,0,0.00,61,171.11,73,521.64,0,0.00,8,2.77,2067,402.26,2209,1097.78
Dima Hasao,33,0,0.00,3,7.00,11,47.78,0,0.00,0,0.00,8,3.52,22,58.30
Goalpara,72,0,0.00,14,62.86,36,128.64,1,0.06,285,189.59,1348,294.55,1684,675.70
Golaghat,126,0,0.00,27,68.96,20,97.60,0,0.00,0,0.00,1229,175.47,1276,342.03
Hailakandi,48,0,0.00,15,32.38,36,248.30,0,0.00,12,6.47,150,42.64,213,329.79
Hojai,65,0,0.00,12,52.61,11,62.85,0,0.00,0,0.00,430,94.20,453,209.66
Jorhat,141,0,0.00,39,122.76,86,530.77,0,0.00,0,0.00,2413,200.94,2538,854.47
Kamrup Metro,175,0,0.00,43,138.97,124,340.87,0,0.00,10,4.85,3521,211.72,3698,696.41
Karbi Anglong,65,0,0.00,12,17.81,44,204.08,0,0.00,0,0.00,606,139.21,662,361.10
Kokrajhar,58,0,0.00,8,11.20,14,69.80,0,0.00,8,5.46,1146,128.60,1176,215.06
Lakhimpur,91,0,0.00,24,34.39,28,160.56,0,0.00,49,21.06,1679,547.45,1780,763.46
Majuli,16,0,0.00,4,9.61,3,2.14,0,0.00,0,0.00,533,10.69,540,22.44
Morigaon,70,0,0.00,12,29.32,38,114.27,0,0.00,12,5.06,516,45.56,578,194.21
Nagaon,153,0,0.00,35,87.22,98,524.90,0,0.00,0,0.00,1004,186.73,1137,798.85
Nalbari,86,0,0.00,45,116.61,100,287.10,0,0.00,3,0.47,1414,232.06,1562,636.24
Sivasagar,102,0,0.00,25,53.79,67,442.04,0,0.00,2,1.24,1313,250.74,1407,747.81
Sonitpur,132,0,0.00,62,156.50,117,457.05,0,0.00,0,0.00,2579,1148.32,2758,1761.87
South Salmara,14,0,0.00,6,27.69,13,44.89,0,0.00,6,4.34,188,242.31,213,319.23
Tamulpur,21,0,0.00,6,17.91,23,88.00,0,0.00,6,1.54,138,30.35,173,137.80
Tinsukia,153,0,0.00,37,80.67,34,252.55,1,0.00,8,3.62,1561,79.34,1641,416.18
Udalguri,55,0,0.00,26,82.85,28,102.88,0,0.00,0,0.00,2762,1204.02,2816,1389.75
West Karbi Anglong,22,0,0.00,3,13.01,12,34.12,0,0.00,5,0.39,1,3.03,21,50.55
