district,SL. NO,FLC Code,Date of camp,Block,Village,No of participants
Kiphire,15,14501,6/27/2021,Pungro,Luthur,40
Mokokchung,5,14201,4/20/2021,Changtongnya,Kelingmen,39
Wokha,16,14701,5/12/2021,Baghty,Lakhuti,25
