District,Population,Sex Ratio (per 1000 male),Density (per sq.km.),Literacy rate
Dimapur,378811,919,410,84.79
Kohima,267988,928,213,85.23
Mon,250260,899,140,56.99
Tuensang,196596,929,90,73.08
Mokokchung,194622,925,120,91.62
Wokha,166343,968,102,87.69
Phek,163418,951,81,78.05
Zunheboto,140757,976,112,85.26
Peren,95219,915,55,77.95
Kiphire,74004,956,66,69.54
Longleng,50484,905,89,72.17
Noklak,Newly created district.,,,
