District,Lead Bank Name,"June, 2020","Sept, 2020","Dec, 2020","Mar, 2021","Jun, 2021"
Dimapur,SBI,Could not happened due to Covid19.,,19.03.2021,15.09.2021,15.09.2021
Kiphire,SBI,18.09.2020,18.11.2020,10.03.2021,23.07.2021,30.07.2021
Kohima,SBI,08.10.2020,10.03.2021,07.04.2021,18.08.2021,18.08.2021
Longleng,SBI,06.10.2020,06.11.2020,06.03.2021,14.09.2021,14.09.2021
Mokokchung,SBI,25.08.2020,04.02.2021,04.02.2021,15.09.2021,15.09.2021
Mon,SBI,16.09.2020,14.12.2020,27.01.2021,18.08.2021,18.08.2021
Noklak,SBI,New District,,24.03.2021,08.09.2021,08.09.2021
Peren,SBI,Could not happened due to Covid19.,18.11.2021,19.04.2021,18.08.2021,18.08.2021
Phek,SBI,23.09.2020,04.11.2020,25.02.2021,28.04.2021,28.07.2021
Tuensang,SBI,16.09.2020,16.09.2020,28.04.2021,11.08.2021,11.08.2021
Wokha,SBI,17.09.2020,22.11.2020,17.03.2021,27.08.2021,27.08.2021
Zunheboto,SBI,23.09.2020,11.11.2020,25.02.2021,03.09.2021,03.09.2021
