District,Jains Amt,Jains No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,0,0,0,0,0,0,7.78,38,15.68,8
East Jaintia Hills,0,0,0,0,0,0,0,0,155.32,69
East Khasi Hills,100.52,4,103.04,40,17,13,252.18,143,15605.98,5299
North Garo Hills,0,0,0,0,0,0,0,0,6.25,4
South Garo Hills,0,0,0,0,0,0,0.57,3,250.97,234
South West Khasi Hills,0,0,0,0,0,0,0,0,68.29,68
West Garo Hills,0,0,0,0,0,0,1.84,2,202.75,159
West Jaintia Hills,0,0,0,0,0,8,9.11,12,1750.57,764
West Khasi Hills,0,0,0,0,0,0,0.1,1,447.35,301
