District,PMJJBY Enrolment,PMJJBY Eligible Cases,PMJJBY Renewals,PMSBY Enrolment,PMSBY Eligible Cases,PMSBY Renewals,APY Enrolment
East Garo Hills,1972,37859,1058,5814,55569,3605,666
East Jaintia Hills,4227,10270,2585,11200,17460,8778,454
East Khasi Hills,42319,251592,31933,81724,340993,64379,6495
North Garo Hills,4022,48604,1269,11169,75173,4965,2073
Ri Bhoi,15006,60676,9758,36399,89642,26610,1246
South Garo Hills,1423,18449,935,3240,27169,2219,349
South West Garo Hills,4921,50295,3367,11516,79191,6887,580
South West Khasi Hills,3668,20060,2722,3453,27409,2808,272
West Garo Hills,11984,117338,6441,29720,188219,14623,1690
West Jaintia Hills,9356,64423,6166,23960,87855,19232,1026
West Khasi Hills,5806,28185,4029,8405,37048,5668,518
