district,Ratio Overall CD,CDR Urban,CDR Urban Semi,Rural CDR,Total vances Ad-,Adv Urban,Adv Semi-Urban,Adv Rural,Total posit De-,Dep Urban,Dep Semi-Urban,Dep Rural
East Garo Hills,69.02,78.81,68.58,64.33,33760.36,4769.06,22904.74,6086.56,48912.48,6051.41,33399.82,9461.25
East Jaintia Hills,17.63,,16.75,17.41,29718.39,577.74,5232.25,23908.4,168529.26,0,31234.43,137294.83
East Khasi Hills,43.81,45.63,39.77,33.57,1030410.88,871004.55,68128.53,91277.8,2352248.43,1909009.25,171318,271921.18
Eastern West Khasi Hills,37.15,19.88,36.85,42.44,16558.52,1185.11,6683.53,8689.88,44572.01,5960.2,18135.65,20476.16
North Garo Hills,61.85,,52.46,67.37,24116.17,0,7575.78,16540.39,38993.59,0,14440.32,24553.27
Ri Bhoi,95,88.45,38.08,118.34,225379.88,4540.49,25555.13,195284.26,237253.04,5133.47,67105.45,165014.12
South Garo Hills,58.65,79.14,63.96,44.54,17256.33,2617.58,9907.56,4731.19,29420.31,3307.43,15490.28,10622.6
South West Garo Hills,66.32,,71.79,65.57,24350.33,0,3169.77,21180.56,36716.34,0,4415.23,32301.11
South West Khasi Hills,38.71,,34.35,39.38,12334.64,0,1455.76,10878.88,31863.91,0,4238.12,27625.79
West Garo Hills,55.15,51.97,57.07,52.05,133614.1,10221.66,85572.77,37819.67,242263.91,19666.68,149932.96,72664.27
West Jaintia Hills,28.3,24.17,34.31,22.37,79699.37,19834.67,43772.84,16091.86,281598.4,82064.53,127585.51,71948.36
West Khasi Hills,38.94,37.04,46.46,24.45,25470.49,3292.54,17651.64,4526.31,65401.56,8889.81,37995.56,18516.19
