district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),Amt MSME Other,No MSME Other,KVIC Amt,No KVIC,Medium Amt,No Medium,Small Amt,Small No,Micro Amt,Micro No
East Garo Hills,271.24,725,7.23,3,11.91,11,0,0,0,0,252.1,711
East Jaintia Hills,932.36,264,0,0,0.24,1,0,0,291.73,16,640.39,247
East Khasi Hills,10785.27,3411,9,10,141.13,55,2303.41,7,1454.27,122,6877.46,3217
North Garo Hills,323.6,589,3.27,2,0,0,0,0,0,0,320.33,587
Ri Bhoi,2358.91,885,29.04,35,30.33,25,0,0,1473.44,17,826.1,808
South Garo Hills,329.62,403,18.03,6,17.97,15,0,0,0,0,293.62,382
West Garo Hills,1968.14,1995,52.65,22,31.07,17,0,0,47.94,5,1836.48,1951
West Jaintia Hills,2006.42,807,7.77,16,10.63,11,0,0,655.05,63,1332.97,717
West Khasi Hills,648.15,385,0,0,7.51,10,0,0,21.99,3,618.65,372
