district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Term No Loan,Crop Amt,Crop No
East Garo Hills,1211.51,3380,8.84,9,405.88,1557,14.57,38,782.22,1776
East Jaintia Hills,265.59,540,28.25,18,149.64,397,48.46,64,39.24,61
East Khasi Hills,4589.35,6115,623.71,117,1146.92,881,391.19,435,2427.53,4682
North Garo Hills,1785.75,4434,28.69,14,483.21,1693,0.17,1,1273.68,2726
Ri Bhoi,8523.3,15789,167.21,288,472.64,1803,162.03,576,7721.42,13122
South Garo Hills,867.95,2260,17.83,24,521.1,1281,38.43,69,290.59,886
South West Garo Hills,1749.69,5061,8.76,7,500.26,1984,8.71,38,1231.96,3032
South West Khasi Hills,187.88,361,1.4,1,70.7,108,4.16,10,111.62,242
West Garo Hills,3064.67,8216,121.04,72,671.9,2906,145.34,357,2126.39,4881
West Jaintia Hills,1175.98,1977,147.38,93,148.82,284,21.76,37,858.02,1563
West Khasi Hills,1904.6,3422,0.81,1,85.31,438,26.73,48,1791.75,2935
