district,(PS) Amount MSME Target,Target MSME No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop No. Achieved Loan,Crop Target Amount Loan,Crop Target No. Loan,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri No. Achieved (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,2400,1925,5.97,316.6,349,5300,7350,9.56,653.02,602,6830,9163
East Jaintia Hills,6100,606,9.4,98.69,154,1050,1050,16.68,356.94,307,2140,1590
East Khasi Hills,82998.78,11025,37.82,2348.8,2742,6210,6139,36.98,5540.34,4944,14980,9286
North Garo Hills,1800,1650,10.35,320.95,407,3100,4185,12.88,579.46,794,4500,5749
Ri Bhoi,18360,2386,23.95,2143.86,2837,8950,12160,20.85,3513.63,4025,16850,14433
South Garo Hills,606,531,6.02,162.55,244,2700,3240,8.87,316.54,457,3570,3351
West Garo Hills,15000,7500,15.82,1159.72,756,7330,11892,17.54,2260.33,2506,12890,21240
West Jaintia Hills,10400,1030,19.84,773.65,757,3900,3900,21.09,1269.41,1502,6020,4802
West Khasi Hills,1406,632,14.53,375.58,565,2584,2238,16.41,665.53,930,4056,2880
