district,PMAY Amount O/S,O/S No PMAY,PMAY Disbursed Current Year Amount under,der Current PMAY Disbursed No un- Year,O/S Loan under Housing Amount PMAY Eligible,ble Loan No PMAY O/S under Eligi- Housing,Loan Rural Amount O/S Housing,Loan No Rural O/S Housing,(NPS) Loan Amount Housing O/S,O/S No (NPS) Loan Housing,O/S Loan (PS) Housing Amount,(PS) No Loan O/S Housing
East Garo Hills,11.53,1,0,0,11.53,1,85.83,9,808.4,75,494.91,73
East Jaintia Hills,1.96,1,0,0,8.93,2,1448.51,83,2759.55,79,909.36,91
East Khasi Hills,2035.29,135,0,0,1680.98,118,7802.76,483,74722.33,4015,29650.43,2879
North Garo Hills,0,0,0,0,0,0,531.88,51,831.1,63,623.1,131
Ri Bhoi,446.26,31,0,0,337.95,27,21776.49,1156,19122.07,1382,8163.35,781
South Garo Hills,0,0,0,0,0,0,17.77,2,973.91,53,490.56,68
South West Garo Hills,0,0,0,0,0,0,929.28,47,679.52,46,450.66,46
South West Khasi Hills,0,0,0,0,0,0,546.75,37,508.06,22,284.03,34
West Garo Hills,96.54,14,0,0,90.57,12,1391.38,153,11096.22,883,4803.07,582
West Jaintia Hills,126.33,11,0,0,17.82,7,1029.76,80,1980.86,118,4114.75,400
West Khasi Hills,240.34,32,0,0,210.16,28,219.59,25,638.49,56,1363.21,167
