district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY A/C No. BURSED DIS-,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,38.57,173.64,100,450.16,217,4.01,14,113.24,35
East Jaintia Hills,4.47,11.06,12,247.39,71,23.95,7,63.43,8
East Khasi Hills,23.44,1204.75,524,5139.25,1298,626.67,130,1167.43,166
Eastern West Khasi Hills,10.89,27.53,24,252.74,89,11.42,7,19.19,5
North Garo Hills,33.53,164.32,100,490.06,224,18.22,14,65.91,10
Ri Bhoi,22.37,236.44,149,1056.9,399,150.16,72,231.52,56
South Garo Hills,41.97,210.46,136,501.44,206,17.54,8,13.5,3
South West Garo Hills,36.53,218.16,107,597.16,242,21.19,11,27.04,10
South West Khasi Hills,11.83,39.75,25,335.98,137,27.85,21,60.32,11
West Garo Hills,24.91,635.35,270,2550.44,769,179.3,48,508.45,95
West Jaintia Hills,13.11,156.13,96,1191.29,352,417.66,109,469.3,83
West Khasi Hills,29.95,140.91,125,470.47,221,39.5,21,65.82,13
