district,Block,No. of appl. submitted,Amt (In lacs),No. of applica- tion sanctioned,Amt (In lacs),No. of applica- tion disbursed,Amt (In lacs),Rejected/ Returned,Pending sanction
East Garo Hills,Songsak,150,7.5,56,7.5,5,7.5,0,94
East Jaintia Hills,Saipung,130,90,49,90,47,90,0,81
East Khasi Hills,Sohiong,114,48.59,76,48.59,33,48.59,0,38
Eastern West,Mawthadraishan,73,55,36,55,32,55,0,37
North Garo Hills,Resubelpara,376,94,241,94,124,94,0,135
Ri Bhoi,Umsning,96,76.45,49,76.45,49,76.45,0,47
South Garo Hills,Rongara,33,6,31,6,6,6,0,2
South West,Ranikor,191,126,100,126,100,126,0,91
South West Garo,Zikzak,214,0,19,0,0,0,0,195
West Garo Hills,Tikrikilla,156,0,32,0,0,0,0,124
West Jaintia,Thadlaskein,219,134.5,96,134.5,86,134.5,0,123
West Khasi Hills,Nongstoin,121,114,68,114,61,114,0,53
