district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,PS Amt Other,PS No Other,able Amt Renew-,able No Renew-,Infra Social Amt,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,75.76,40,0.81,6,0,0,13.59,5,48.33,24,13.03,5,0,0
East Jaintia Hills,322.89,49,210.82,33,0,0,3.67,2,92.66,7,15.74,7,0,0
East Khasi Hills,2256.12,1924,1600.79,1800,0,0,49.28,16,378.34,40,227.71,68,0,0
North Garo Hills,207.05,92,0,0,0,0,15.33,8,176.74,80,14.98,4,0,0
Ri Bhoi,336.89,933,237.58,901,0,0,6.74,3,56.87,11,35.7,18,0,0
South Garo Hills,123.47,48,0,0,0,0,24.74,12,98.73,36,0,0,0,0
West Garo Hills,348.83,79,2.36,10,0,0,32.17,13,290.83,48,23.47,8,0,0
West Jaintia Hills,368.29,133,157.16,82,0,0,16.82,10,139.95,23,54.36,18,0,0
West Khasi Hills,116.22,34,66.21,14,0,0,2.61,1,15.57,4,31.83,15,0,0
