district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of dent girl No Disb stu- which,Disb. Number,girl of Amt which Sanctioned student,Amt tioned Sanc-,of dent girl tioned No Sanc- stu- which,No tioned Sanc-
East Garo Hills,39.4,113.73,16,39,0.84,5.1,1,5,0.85,1.51,1,2
East Jaintia Hills,73.14,163.42,30,55,2.18,5.59,2,5,1.18,4.1,1,3
East Khasi Hills,6245.14,17323.47,1237,2599,1069.15,3633.38,218,622,2677.61,4808.13,3926,412
North Garo Hills,15.11,44.78,5,17,1.21,2.77,2,4,1.35,2.94,2,4
Ri Bhoi,517.5,821.98,228,289,28.2,53.72,26,51,41.62,58.11,19,29
South Garo Hills,15.28,31.28,8,11,2.21,3.09,3,4,1.16,1.16,1,1
South West Garo Hills,39.65,48.3,16,21,3.68,4.01,4,5,1.56,3.22,1,3
South West Khasi Hills,77.64,124.17,37,56,14.68,15.6,9,11,14.18,21,8,10
West Garo Hills,319.26,772.15,125,247,27.86,48.34,30,54,16.55,138.32,16,30
West Jaintia Hills,246.88,453.4,92,156,5.06,14.98,7,18,4.4,15.05,3,8
West Khasi Hills,228.13,316.46,96,133,31.72,26.53,18,22,25.24,10.01,4,5
