district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,54.39,267.0,1730.0,2063.0,69.59,4341.0,3793.0,6238.0,548.0
Birbhum,74.0,206.0,1053.0,2997.0,67.26,4056.0,4050.0,6030.0,6.0
Cooch Behar,46.2,114.0,1004.0,862.0,69.09,1900.0,1866.0,2750.0,34.0
Darjeeling,53.83,86.0,729.0,850.0,72.34,1619.0,1579.0,2238.0,40.0
Hooghly,84.91,235.0,639.0,3595.0,70.2,4234.0,4234.0,6031.0,0.0
Howrah,24.33,570.0,8978.0,2887.0,87.06,12475.0,11865.0,14330.0,610.0
Jalpaiguri,78.28,233.0,854.0,3078.0,86.81,4153.0,3932.0,4784.0,221.0
Malda,55.65,192.0,1634.0,2050.0,73.75,4278.0,3684.0,5801.0,594.0
Nadia,39.85,180.0,1731.0,1147.0,63.15,2951.0,2878.0,4673.0,73.0
North 24 Parganas,59.18,232.0,1937.0,2808.0,80.51,4809.0,4745.0,5973.0,64.0
Purba Bardhaman,56.55,212.0,1575.0,2050.0,67.29,3625.0,3625.0,5387.0,0.0
Purba Medinipur,49.27,198.0,2153.0,2091.0,74.93,4290.0,4244.0,5725.0,46.0
Purulia,62.41,158.0,748.0,1242.0,49.14,1990.0,1990.0,4050.0,0.0
South 24 Parganas,82.64,270.0,789.0,3755.0,63.44,4587.0,4544.0,7230.0,43.0
Uttar Dinajpur,55.07,186.0,1435.0,1759.0,69.94,3264.0,3194.0,4667.0,70.0
