district,10_km_to_20_km_2000,2000_5000,5000,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,total,total_gp,total_of_gp_hqs_above_5_km_2000
Alipurduar,,,10.0,,,,10.0,17.0,
Bankura,4.0,17.0,2.0,2.0,4.0,,29.0,46.0,10.0
Birbhum,,,,5.0,2.0,,7.0,22.0,7.0
Cooch Behar,,,4.0,,,,4.0,34.0,
Dakshin Dinajpur,,,2.0,,,,2.0,8.0,
Darjeeling,,8.0,12.0,,,,20.0,37.0,
Hooghly,,7.0,4.0,1.0,,,12.0,26.0,1.0
Howrah,,,1.0,,,,1.0,30.0,
Jalpaiguri,,1.0,1.0,1.0,,,3.0,18.0,1.0
Kalimpong,,,1.0,,,,1.0,1.0,
Malda,,,9.0,,,,9.0,23.0,
Murshidabad,,,6.0,,,,6.0,27.0,
Nadia,,,5.0,,,,5.0,37.0,
Paschim Bardhaman,,,,,,,,10.0,
Paschim Medinipur,,,,,,,,40.0,
Purba Bardhaman,,3.0,1.0,2.0,,1.0,7.0,29.0,3.0
Purba Medinipur,,3.0,3.0,2.0,3.0,,11.0,57.0,5.0
Purulia,,,44.0,,,,44.0,79.0,
Uttar Dinajpur,,,20.0,,,,20.0,32.0,
