district,disbursement_no,forwarded_no,mm,mm_claimed_no,pending_for_mm_disb_no,pending_no,rejected_no,sanctioned_no
Alipurduar,39.0,218.0,0.5,40.0,1.0,69.0,133.0,27.0
Bankura,73.0,180.0,3.87,68.0,2.0,91.0,67.0,42.0
Birbhum,132.0,260.0,8.43,125.0,3.0,73.0,125.0,92.0
Cooch Behar,79.0,1043.0,13.39,82.0,10.0,392.0,594.0,86.0
Dakshin Dinajpur,60.0,125.0,4.55,41.0,2.0,51.0,42.0,43.0
Darjeeling,63.0,267.0,4.09,61.0,3.0,135.0,101.0,50.0
Hooghly,51.0,301.0,3.96,46.0,4.0,95.0,182.0,32.0
Howrah,69.0,470.0,5.75,64.0,2.0,304.0,129.0,64.0
Jalpaiguri,42.0,162.0,2.44,42.0,2.0,122.0,32.0,35.0
Kalimpong,4.0,64.0,0.79,5.0,1.0,28.0,22.0,14.0
Kolkata,3.0,104.0,0.0,2.0,0.0,65.0,35.0,13.0
Malda,45.0,205.0,4.9,44.0,3.0,96.0,81.0,43.0
Murshidabad,117.0,1394.0,0.0,103.0,0.0,635.0,647.0,117.0
Nadia,102.0,323.0,0.0,92.0,0.0,124.0,144.0,86.0
North 24 Parganas,263.0,1433.0,8.53,235.0,3.0,621.0,679.0,262.0
Paschim Bardhaman,2.0,41.0,0.0,2.0,0.0,20.0,17.0,4.0
Paschim Medinipur,97.0,630.0,0.0,81.0,0.0,321.0,252.0,87.0
Purulia,40.0,205.0,11.48,35.0,3.0,138.0,44.0,34.0
South 24 Parganas,332.0,1289.0,10.71,288.0,2.0,808.0,339.0,233.0
Uttar Dinajpur,7.0,29.0,0.3,6.0,1.0,11.0,17.0,4.0
