district,amount,education_no,export_credit_no,grand_total_no,housing_no,others_sector_activities_not_classified_elsewhere_no,renewable_energy_no,social_infrastructure_no
Alipurduar,166142.0,810.0,6.0,197698.0,316.0,16500.0,160.0,41.0
Bankura,696000.04,843.0,0.0,420160.0,695.0,30248.0,1834.0,47.0
Birbhum,877839.9,700.0,22.0,616670.0,2750.0,52357.0,3940.0,80.0
Cooch Behar,536500.0,0.0,2.0,287242.0,0.0,0.0,0.0,0.0
Dakshin Dinajpur,556054.73,842.0,9.0,379248.0,2420.0,15389.0,1333.0,25.0
Darjeeling,234000.0,170.0,35.0,31869.0,570.0,400.0,104.0,50.0
Hooghly,859546.25,1690.0,120.0,505132.0,3000.0,28383.0,549.0,50.0
Howrah,1016913.26,1416.0,0.0,656310.0,4012.0,8706.0,382.0,322.0
Jalpaiguri,287689.0,141.0,23.0,177644.0,935.0,24876.0,2093.0,440.0
Jhargram,255532.0,175.0,2.0,190693.0,400.0,12200.0,1735.0,14.0
Kalimpong,46040.3,110.0,172.0,23790.0,155.0,3500.0,403.0,269.0
Kolkata,1626755.36,1413.0,1413.0,15891.0,1413.0,0.0,1413.0,1413.0
Malda,778839.89,6008.0,41.0,342735.0,1677.0,26666.0,46.0,2690.0
Murshidabad,1050426.59,1776.0,0.0,489118.0,3620.0,42157.0,1878.0,698.0
Nadia,787777.33,3440.0,1380.0,566764.0,3440.0,36324.0,3501.0,446.0
North 24 Parganas,1048196.0,1560.0,0.0,655643.0,11851.0,46717.0,1053.0,175.0
Paschim Medinipur,1038346.2,612.0,10.0,690618.0,1519.0,36380.0,3800.0,54.0
Purba Medinipur,916010.38,1177.0,21.0,657530.0,12355.0,73775.0,826.0,110.0
Purulia,449999.86,401.0,0.0,361261.0,925.0,27087.0,2184.0,363.0
South 24 Parganas,993142.66,7759.0,19.0,1307639.0,5730.0,34518.0,1220.0,58.0
Uttar Dinajpur,341081.69,105.0,35.0,265712.0,2105.0,42446.0,796.0,52.0
