district,sep_g,sep_i,shg_credit_linkage
Alipurduar,5.0,40.0,477.0
Bankura,12.0,135.0,1937.0
Birbhum,26.0,317.0,2970.0
Cooch Behar,18.0,237.0,1218.0
Dakshin Dinajpur,12.0,120.0,1052.0
Darjeeling,11.0,190.0,1627.0
Hooghly,46.0,568.0,4299.0
Howrah,10.0,180.0,1136.0
Jalpaiguri,9.0,130.0,1322.0
Jhargram,4.0,50.0,385.0
Kalimpong,4.0,40.0,76.0
Kolkata,6.0,110.0,488.0
Malda,6.0,80.0,758.0
Murshidabad,30.0,290.0,4032.0
Nadia,35.0,406.0,4922.0
North 24 Parganas,94.0,1272.0,12954.0
Paschim Bardhaman,10.0,270.0,2391.0
Paschim Medinipur,27.0,337.0,2955.0
Purba Bardhaman,29.0,290.0,2432.0
Purba Medinipur,18.0,240.0,2727.0
Purulia,11.0,113.0,1050.0
South 24 Parganas,22.0,285.0,2756.0
Uttar Dinajpur,15.0,200.0,1804.0
