district,amount,kcc_disbursement_during_fy_2018_19_no
Alipurduar,41.71,28468.0
Bankura,322.77,84479.0
Birbhum,85.76,49836.0
Cooch Behar,284.31,45613.0
Dakshin Dinajpur,206.51,41419.0
Darjeeling,168.32,23955.0
Hooghly,212.15,28072.0
Howrah,118.42,35524.0
Jalpaiguri,217.42,44189.0
Jhargram,9.24,2021.0
Kalimpong,4.6,21123.0
Kolkata,0.0,0.0
Malda,255.54,76552.0
Murshidabad,255.66,87783.0
Nadia,213.84,85176.0
Paschim Bardhaman,373.61,105223.0
Paschim Medinipur,924.01,239120.0
Purba Bardhaman,2786.52,330381.0
Purba Medinipur,1052.36,433084.0
Purulia,107.33,38246.0
Uttar Dinajpur,191.71,78874.0
