district,amount,khadi_village_industries_no,medium_enterprise_mfg_ser_upto_rs_10_cr_no,micro_enterprise_mfg_ser_upto_rs_0_25_cr_no,others_sector_activities_not_classified_elsewhere_no,small_enterprise_mfg_ser_upto_rs_5_cr_no,total_msme_no
Alipurduar,37000.0,240.0,48.0,1560.0,300.0,900.0,3048.0
Bankura,234317.0,0.0,173.0,25210.0,0.0,1084.0,26467.0
Birbhum,345913.81,5700.0,12000.0,7472.0,9800.0,59200.0,94172.0
Cooch Behar,140000.0,0.0,21.0,4755.0,0.0,11870.0,16646.0
Dakshin Dinajpur,208060.0,7900.0,121.0,22057.0,1994.0,1723.0,33795.0
Darjeeling,93310.0,260.0,227.0,1245.0,140.0,676.0,2548.0
Hooghly,320449.5,2628.0,0.0,4365.0,876.0,877.0,8746.0
Howrah,732060.0,18578.0,338.0,337.0,12982.0,381.0,32615.0
Jalpaiguri,53763.0,2315.0,0.0,14557.0,0.0,0.0,16872.0
Jhargram,47275.0,29.0,39.0,2498.0,8728.0,247.0,11541.0
Kalimpong,17452.0,74.0,83.0,870.0,95.0,230.0,1352.0
Kolkata,1000000.0,91.0,268.0,613.0,89.0,352.0,1413.0
Malda,159180.0,12821.0,58.0,809.0,1792.0,484.0,15964.0
Murshidabad,388175.0,0.0,910.0,2600.0,260.0,1612.0,5382.0
Nadia,110947.95,0.0,0.0,44870.0,0.0,0.0,44870.0
North 24 Parganas,627646.0,6226.0,109.0,176280.0,0.0,13995.0,196610.0
Paschim Medinipur,201725.75,0.0,0.0,51695.0,0.0,0.0,51695.0
Purba Medinipur,310775.86,33628.0,20.0,10060.0,33492.0,5035.0,82235.0
Purulia,139468.22,0.0,0.0,33495.0,0.0,2762.0,36257.0
South 24 Parganas,491540.5,6930.0,1665.0,101500.0,788978.0,5654.0,904727.0
Uttar Dinajpur,32698.65,0.0,1919.0,13469.0,0.0,3863.0,19251.0
