district,amount,disbursement_no,no_of_cases_sponsored,pending_with_bank_for_nod_i_sb,sanctioned,subsidy_involved_in_sanctioned_cases,subsidy_released_no,total_project_cost_involved_in_sanctioned,urseammeonutnt
Alipurduar,406.63,398.0,1912.0,296.0,807.0,901.08,694.0,2962.49,349.79
Bankura,1337.5,1897.0,5311.0,338.0,2413.0,1693.71,2235.0,,233.32
Birbhum,1478.42,2512.0,5418.0,175.0,3190.0,1925.76,2690.0,6249.6,98.99
Cooch Behar,1197.82,1885.0,4845.0,382.0,2086.0,1275.41,2269.0,4382.49,215.59
Dakshin Dinajpur,281.24,422.0,2040.0,260.0,861.0,607.48,799.0,1959.46,159.91
Darjeeling,369.11,350.0,820.0,51.0,402.0,445.82,401.0,1489.55,54.85
Hooghly,2203.86,2755.0,7842.0,369.0,3208.0,2971.81,3130.0,10009.96,347.02
Howrah,832.32,1274.0,4048.0,752.0,2086.0,14447.64,2027.0,4809.1,565.16
Jalpaiguri,1626.41,1918.0,5201.0,688.0,2823.0,2249.91,2608.0,7531.19,420.81
Jhargram,407.42,340.0,3889.0,322.0,757.0,851.16,662.0,3414.69,283.77
Kalimpong,29.31,26.0,133.0,0.0,38.0,39.81,26.0,138.37,0.0
Kolkata,521.01,485.0,1337.0,139.0,625.0,707.01,627.0,2450.04,163.21
Malda,1652.54,2033.0,3900.0,89.0,2149.0,1569.68,2122.0,5232.29,86.79
Murshidabad,2786.58,3160.0,6457.0,320.0,3766.0,3279.81,3573.0,11467.51,263.63
Nadia,1612.85,2053.0,5993.0,214.0,2067.0,1972.91,2267.0,5482.74,196.81
Paschim Bardhaman,310.34,359.0,1584.0,19.0,483.0,422.2,392.0,1442.6,14.83
Paschim Medinipur,1785.37,1840.0,8417.0,49.0,3323.0,2990.79,1919.0,9865.83,12.6
Purba Bardhaman,1816.23,1870.0,7974.0,1245.0,3816.0,3769.69,3202.0,10325.49,947.11
Purba Medinipur,1773.83,2235.0,4079.0,433.0,2727.0,2309.07,2711.0,7210.31,326.96
Purulia,424.78,565.0,3836.0,532.0,1269.0,965.27,1098.0,3304.21,424.14
Uttar Dinajpur,1344.56,1654.0,3132.0,414.0,1227.0,1154.28,2078.0,3818.43,339.93
