district,employed,units
Bankura,1600.0,198.0
Howrah,8000.0,1100.0
Jalpaiguri,530.0,152.0
Malda,1400.0,660.0
Murshidabad,3000.0,1500.0
Nadia,550.0,200.0
Purba Bardhaman,2000.0,1350.0
Purba Medinipur,50000.0,700.0
Purulia,1500.0,125.0
Uttar Dinajpur,1000.0,450.0
