district,nrlm_target_for_2019_20
Alipurduar,14100.0
Bankura,28786.0
Birbhum,38359.0
Cooch Behar,22293.0
Dakshin Dinajpur,15012.0
Darjeeling,2082.0
Hooghly,22150.0
Howrah,18313.0
Jalpaiguri,23940.0
Jhargram,8661.0
Kalimpong,1126.0
Malda,37084.0
Murshidabad,38008.0
Nadia,21447.0
North 24 Parganas,37304.0
Paschim Bardhaman,5852.0
Paschim Medinipur,33238.0
Purba Bardhaman,27270.0
Purba Medinipur,39976.0
South 24 Parganas,42602.0
Uttar Dinajpur,13375.0
