district,disbursement_am,isbursement_a,kishore_tt_no_of_a_cs,sanctioned_amdt,sanctioned_amt,shishu_no_of_a_cs,tarun_t_no_of_a_cs,total_mtnnoo_ooff_aa_ccss
Alipurduar,128.41,1.89,18918.0,1.89,488.01,117585.0,23.0,113366552266.0
Bankura,139.43,68.15,10530.0,70.91,425.74,73604.0,925.0,8855005599.0
Birbhum,395.12,90.78,33786.0,93.53,993.72,166236.0,5384.0,220055440066.0
Cooch Behar,364.73,34.78,47941.0,35.75,996.95,192260.0,449.0,224400665500.0
Dakshin Dinajpur,128.48,28.82,13755.0,29.75,440.42,92929.0,388.0,110077007722.0
Howrah,482.11,136.43,40171.0,144.68,1426.34,256467.0,1786.0,229988442244.0
Jalpaiguri,248.68,77.46,25990.0,80.72,986.02,239807.0,1019.0,226666881166.0
Kalimpong,4.53,0.0,694.0,0.0,8.46,1001.0,0.0,1695.0
Kolkata,483.56,490.72,31747.0,504.44,2358.43,494482.0,6472.0,553322770011.0
Malda,263.84,90.67,27354.0,92.4,924.31,186545.0,13179.0,222277007788.0
Murshidabad,542.43,114.58,63954.0,117.52,1862.82,395756.0,13389.0,447733009999.0
Nadia,398.06,144.46,41875.0,148.49,1463.66,307710.0,12311.0,336611889966.0
North 24 Parganas,704.26,253.93,72578.0,267.11,2344.42,460727.0,11961.0,554455226666.0
Paschim Medinipur,330.39,154.47,24737.0,162.46,1009.99,174918.0,2141.0,220011779966.0
Purba Bardhaman,612.04,283.38,44299.0,297.74,2039.15,395909.0,6413.0,444466662211.0
Purba Medinipur,294.83,116.28,23601.0,123.01,946.19,171352.0,1568.0,119966552211.0
South 24 Parganas,515.93,141.85,54042.0,147.3,1759.44,368368.0,12114.0,443344552244.0
Uttar Dinajpur,294.87,51.84,36526.0,52.42,837.56,147672.0,4907.0,118899110055.0
