district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,41.54,30.0,190.0,135.0,100.0,764.0,325.0,764.0,0.0
Birbhum,71.13,19.0,110.0,271.0,100.0,568.0,381.0,568.0,0.0
Cooch Behar,0.0,17.0,35.0,0.0,103.21,418.0,35.0,405.0,13.0
Darjeeling,60.16,15.0,51.0,77.0,100.49,410.0,128.0,408.0,2.0
Hooghly,98.03,31.0,9.0,449.0,100.0,725.0,458.0,725.0,0.0
Howrah,40.56,37.0,466.0,318.0,101.79,1025.0,784.0,1007.0,18.0
Jalpaiguri,28.87,20.0,207.0,84.0,124.22,636.0,291.0,512.0,124.0
Malda,20.5,26.0,159.0,41.0,115.79,880.0,200.0,760.0,120.0
Nadia,98.62,30.0,2.0,143.0,100.0,812.0,145.0,812.0,0.0
North 24 Parganas,73.76,27.0,74.0,208.0,109.27,731.0,282.0,669.0,62.0
Purba Bardhaman,72.8,26.0,68.0,182.0,100.0,726.0,250.0,726.0,0.0
Purba Medinipur,73.11,28.0,121.0,329.0,100.6,832.0,450.0,827.0,5.0
Purulia,38.8,23.0,112.0,71.0,100.0,605.0,183.0,605.0,0.0
South 24 Parganas,80.0,30.0,38.0,152.0,100.24,820.0,190.0,818.0,2.0
Uttar Dinajpur,19.51,24.0,99.0,24.0,100.17,578.0,123.0,577.0,1.0
