district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Anjaw,2,0,0,6,0,6,2,0,0,2,2
Changlang,11,2,0,58,12,70,7,4,0,13,11
Dibang Valley,1,1,0,1,0,1,1,1,0,2,2
East Kameng,0,10,0,16,10,26,0,7,0,10,7
East Siang,1,16,0,64,23,87,6,11,0,17,17
Kamle,0,0,0,2,0,2,1,0,0,0,1
Kra Daadi,2,4,0,5,2,7,2,0,0,6,2
Kurung Kumey,1,1,0,1,3,4,1,3,0,2,4
Leparada,1,0,0,4,1,5,2,2,0,1,4
Lohit,1,9,0,9,1,10,3,5,0,10,8
Longding,3,0,0,6,1,7,3,0,0,3,3
Lower Dibang Valley,0,9,0,51,7,58,2,6,0,9,8
Lower Siang,3,0,0,12,17,29,5,0,0,3,5
Lower Subansiri,2,10,0,39,3,42,4,9,0,12,13
Namsai,2,2,0,30,10,40,6,5,0,4,11
Papum Pare,9,108,0,92,608,700,14,51,0,117,65
Shi Yomi,1,0,0,3,1,4,1,1,0,1,2
Siang,1,0,0,14,0,14,4,0,0,1,4
Tawang,3,14,0,17,1,18,4,7,0,17,11
Tirap,4,0,0,16,0,16,3,2,0,4,5
Upper Siang,3,0,0,14,1,15,4,3,0,3,7
Upper Subansiri,1,5,0,36,2,38,8,2,0,6,10
West Kameng,28,1,0,31,1,32,15,1,0,29,16
West Siang,0,12,0,27,8,35,3,6,0,12,9
