district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,142.96,942,739,587,1491,54,1164,1681,1681,0
Changlang,1599.71,25682,20893,13865,45481,2867,30064,46581,46575,0
Dibang Valley,222.32,252,253,291,397,32,154,505,505,0
East Kameng,619.46,7835,6449,3686,10754,1070,9090,3747,14284,10541
East Siang,2727.74,30501,25212,17021,51393,6847,29892,34638,55713,21012
Kamle,93.79,893,542,328,1297,21,337,1435,1435,0
Kra Daadi,183.98,1765,1048,687,3602,30,1537,2815,2813,0
Kurung Kumey,320.07,2449,1442,1714,4043,573,2133,3894,3891,0
Leparada,234.27,1893,1285,995,2708,282,1922,3181,3178,0
Lohit,450.43,6584,4875,5432,10711,1030,6360,4101,11459,7360
Longding,398.68,7147,3687,4660,10602,356,6864,10835,10834,0
Lower Dibang Valley,610.18,7517,6342,6648,12929,1399,4924,2835,13859,11024
Lower Siang,655.84,13564,11998,4174,16718,4474,13026,25564,25562,0
Lower Subansiri,1063.21,6727,5232,4018,11228,382,6067,6413,11959,5550
Namsai,1205.86,16304,14937,19022,28092,2710,17657,15661,31241,15581
Papum Pare,3158.63,37310,29697,29657,57712,6897,33553,34347,67007,33641
Shi Yomi,286.95,863,755,764,2107,127,1230,1619,1618,0
Siang,454.16,2303,2672,1581,3786,121,3292,4978,4975,0
Tawang,556.24,2908,2019,2757,4284,380,2365,3791,4927,1138
Tirap,798.41,8647,6578,7259,16013,720,9067,15231,15225,0
Upper Siang,393.77,2523,1894,2987,2298,198,1681,4417,4417,0
Upper Subansiri,1512.05,11827,9343,8806,21487,2194,12663,7840,21170,13344
West Kameng,1224.98,8386,7227,6504,13439,944,7385,15196,15613,420
West Siang,1266.34,9120,7823,7966,12836,3308,6465,6331,16943,8601
