district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Anjaw,4024,2412,0,2412,12
Changlang,57939,33757,0,35216,51
Dibang Valley,4791,324,0,354,35
East Kameng,35241,10366,0,11279,21
East Siang,39554,31009,16,34310,239
Kamle,2379,620,0,620,4
Kra Daadi,3423,2490,0,2490,29
Kurung Kumey,24334,1694,0,2625,54
Leparada,12391,2049,0,2531,51
Lohit,24300,8688,0,9169,216
Longding,9541,9484,0,9484,21
Lower Dibang Valley,27187,6006,27,6028,181
Lower Siang,4863,14903,16,14903,10
Lower Subansiri,27295,7736,4,8755,382
Namsai,35670,12538,1,14034,452
Papum Pare,127977,30411,6,39505,1505
Shi Yomi,6503,1336,0,1622,1
Siang,2879,3612,0,3612,3
Tawang,23466,2398,1,4669,51
Tirap,25104,10321,0,11618,48
Upper Siang,24332,2053,0,2296,10
Upper Subansiri,34629,11658,0,15254,140
West Kameng,37091,9122,4,10621,233
West Siang,27803,6671,3,9595,75
