district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,10.48,3,53.54,12,897.81,260,2423.55,671
Changlang,237.37,53,609.49,191,4467.21,998,10702.86,3036
Dibang Valley,15.00,2,61.00,10,729.61,144,2748.28,702
East Kameng,46.80,8,158.34,30,2585.58,413,9409.12,3441
East Siang,213.70,33,540.25,144,15793.68,2206,36825.35,8077
Kamle,4.21,5,7.14,8,325.94,144,799.24,264
Kra Daadi,11.66,3,266.85,38,2013.73,557,7540.20,1431
Kurung Kumey,29.90,3,62.33,8,313.70,52,2627.93,934
Leparada,25.88,3,35.76,9,3615.60,519,9463.39,2626
Lohit,134.52,29,276.62,70,5405.15,1442,12929.69,4730
Longding,84.17,10,151.74,22,575.05,88,1490.20,269
Lower Dibang Valley,205.27,56,380.64,145,2845.94,586,7175.55,2138
Lower Siang,129.60,16,235.85,46,2605.64,425,5057.43,1120
Lower Subansiri,90.29,19,330.14,92,6802.94,982,21076.58,6315
Namsai,176.75,48,388.81,102,4983.84,1054,11950.44,3069
Papum Pare,1085.95,185,2789.94,611,63532.14,6449,197953.96,29792
Shi Yomi,0.00,0,18.57,3,220.69,33,1072.59,351
Siang,3.50,2,30.31,9,1349.15,289,3092.13,771
Tawang,61.70,8,178.84,49,3876.41,562,10093.89,2217
Tirap,58.06,12,143.57,34,2588.72,521,7066.52,2028
Upper Siang,30.10,5,155.23,31,1457.36,358,4909.51,1554
Upper Subansiri,108.08,22,237.28,63,7480.64,1067,21072.03,4918
West Kameng,153.08,32,408.48,107,9735.13,1369,20622.27,4936
West Siang,99.43,12,290.04,51,9529.99,1360,27051.50,5586
