district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,21.88,9,21.50,15,0.00,0,0.00,0,0.00,0,43.38,24,0.00,0
Changlang,581.79,454,1742.86,827,0.00,0,70.40,78,0.00,0,2395.05,1359,0.00,0
Dibang Valley,199.76,29,252.03,66,0.00,0,28.99,9,75.88,7,556.66,111,0.00,0
East Kameng,389.99,39,281.01,184,0.00,0,54.60,22,2.50,1,728.10,246,0.00,0
East Siang,157.34,61,820.24,367,0.00,0,386.89,78,12.53,4,1377.00,510,0.00,0
Kamle,0.00,0,36.04,23,0.00,0,0.54,2,0.00,0,36.58,25,0.00,0
Kra Daadi,194.47,14,1596.65,208,0.00,0,0.80,2,35.00,3,1826.92,227,0.00,0
Kurung Kumey,31.00,26,2054.69,1028,0.00,0,36.09,21,0.00,0,2121.78,1075,0.00,0
Leparada,1044.59,100,604.38,409,0.00,0,75.30,50,0.00,0,1724.27,559,0.00,0
Lohit,321.83,537,259.40,155,0.00,0,108.37,60,4.00,2,693.60,754,0.00,0
Longding,16.39,11,3123.82,1816,0.00,0,53.71,12,1.17,2,3195.09,1841,0.00,0
Lower Dibang Valley,158.42,109,1103.16,694,0.00,0,64.02,40,6.00,1,1331.60,844,0.00,0
Lower Siang,31.50,12,754.44,328,0.00,0,71.89,17,0.00,1,857.83,358,0.00,0
Lower Subansiri,193.54,124,3746.81,2501,0.00,0,301.29,108,6.58,3,4248.22,2736,0.00,0
Namsai,3495.69,1749,772.46,243,0.00,0,55.62,41,1.87,2,4325.64,2035,0.00,0
Papum Pare,6053.17,1199,22824.31,6006,5.97,5,3489.06,442,130.35,63,32502.86,7715,0.00,0
Shi Yomi,391.86,170,170.16,126,0.00,0,4.00,1,0.00,0,566.02,297,0.00,0
Siang,63.30,10,55.92,12,0.00,0,0.00,1,0.00,0,119.22,23,0.00,0
Tawang,4302.28,1783,148.64,57,0.00,0,64.46,26,115.25,21,4630.63,1887,0.00,0
Tirap,430.38,498,2395.70,1528,0.00,0,28.30,17,9.15,2,2863.53,2045,0.00,0
Upper Siang,54.31,32,216.28,118,0.00,0,3.00,3,0.00,0,273.59,153,0.00,0
Upper Subansiri,227.84,131,466.66,282,0.00,1,110.37,31,7.00,1,811.87,446,0.00,0
West Kameng,8235.07,2626,1478.80,788,0.00,0,91.11,53,60.02,23,9865.00,3490,0.00,0
West Siang,1451.99,1321,185.35,92,0.00,0,73.99,21,0.00,4,1711.33,1438,0.00,0
