district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
East Siang,19.95,9,1.06,5,0.00,0,0.00,40.99,26
Kra Daadi,132.08,74,10.94,22,0.00,0,0.00,121.90,86
Kurung Kumey,5.79,2,0.00,0,0.00,0,0.00,5.83,2
Leparada,0.00,0,2.24,8,0.32,1,3.82,8.37,52
Lohit,35.27,21,0.00,0,0.00,0,0.00,62.94,52
Lower Dibang Valley,6.95,5,3.96,4,0.00,0,0.00,27.98,28
Lower Siang,15.00,5,0.00,0,0.22,1,1.23,17.94,12
Lower Subansiri,127.77,41,12.86,16,3.54,3,1.72,205.34,148
Namsai,24.43,13,3.33,13,0.23,1,0.49,46.69,50
Papum Pare,36.03,22,136.22,144,99.09,104,24.90,397.91,426
Siang,10.97,7,0.00,0,0.00,0,0.00,14.37,21
Tawang,9.00,9,0.08,5,0.00,0,0.00,8.93,9
Tirap,1.00,1,0.00,0,0.00,0,0.00,0.60,1
Upper Siang,0.00,0,0.18,1,0.00,0,0.00,0.53,4
Upper Subansiri,38.49,17,1.75,8,1.99,6,2.89,68.88,83
West Kameng,1.00,1,0.00,0,0.00,0,0.00,1.01,1
West Siang,15.57,15,0.00,0,0.18,1,0.86,20.88,47
