district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Anjaw,3459.96,0.00,0.00,31.58,,10957.25,0.00,0.00,31.58,3459.96,10957.25
Changlang,19730.69,1245.80,0.00,28.29,52.45,69745.24,2375.27,0.00,29.09,20976.49,72120.51
Dibang Valley,2259.50,1851.21,0.00,10.11,105.01,22347.85,1762.89,0.00,17.05,4110.71,24110.74
East Kameng,21.79,16889.93,0.00,,75.68,0.00,22318.49,0.00,75.77,16911.72,22318.49
East Siang,8694.31,45452.07,0.00,25.63,39.32,33927.19,115602.84,0.00,36.21,54146.38,149530.03
Kamle,1212.69,0.00,0.00,38.87,,3119.49,0.00,0.00,38.87,1212.69,3119.49
Kra Daadi,3348.47,12182.97,0.00,57.21,,5852.66,0.00,0.00,265.37,15531.44,5852.66
Kurung Kumey,4415.60,1500.94,0.00,62.93,57.30,7016.20,2619.61,0.00,61.40,5916.54,9635.81
Leparada,8971.64,1374.61,0.00,35.39,98.74,25349.19,1392.10,0.00,38.69,10346.25,26741.29
Lohit,3637.85,14961.13,0.00,45.00,40.59,8084.99,36863.62,0.00,41.38,18598.98,44948.61
Longding,11469.28,0.00,0.00,75.86,,15118.10,0.00,0.00,75.86,11469.28,15118.10
Lower Dibang Valley,295.57,14892.48,0.00,10.55,22.94,2802.73,64931.32,0.00,22.42,15188.05,67734.05
Lower Siang,10687.86,0.00,0.00,48.26,,22145.90,0.00,0.00,48.26,10687.86,22145.90
Lower Subansiri,6524.85,24024.42,0.00,48.96,41.11,13327.85,58442.59,0.00,42.57,30549.27,71770.44
Namsai,11476.68,8569.11,0.00,36.32,34.71,31600.31,24689.88,0.00,35.61,20045.79,56290.19
Papum Pare,44847.40,334691.89,0.00,50.78,31.24,88308.84,1071276.74,0.00,32.73,379539.29,1159585.58
Shi Yomi,999.62,235.22,0.00,15.62,12.22,6400.93,1924.21,0.00,14.83,1234.84,8325.14
Siang,3474.57,0.00,0.00,22.07,,15746.06,0.00,0.00,22.07,3474.57,15746.06
Tawang,4958.69,12372.38,0.00,18.21,9.03,27235.54,136941.97,0.00,10.56,17331.07,164177.51
Tirap,15473.84,1739.73,0.00,48.18,95.82,32116.74,1815.65,0.00,50.73,17213.57,33932.39
Upper Siang,6094.65,719.46,0.00,19.00,31.77,32082.33,2264.94,0.00,19.84,6814.11,34347.27
Upper Subansiri,5498.44,22323.23,0.00,37.86,86.52,14521.25,25801.93,0.00,69.00,27821.67,40323.18
West Kameng,35274.81,1635.06,0.00,32.36,500.77,108995.89,326.51,0.00,33.76,36909.87,109322.40
West Siang,1845.28,29733.05,0.00,23.85,45.70,7737.48,65060.05,0.00,43.38,31578.33,72797.53
