district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Anjaw,0,0.00,344623,6133.77,0,0.00,19,0.10,3,0.21,6316,207.90
Changlang,0,0.00,4138907,71541.11,0,0.00,4709,208.40,75,0.35,113016,2692.03
Dibang Valley,0,0.00,190937,4273.26,0,0.00,2503,123.47,1,0.02,7987,343.04
East Kameng,123,8.03,1459588,29484.92,1760,2988.48,18675,1017.83,783,75666.44,53381,1489.16
East Siang,1194,279.99,4719771,74783.22,1053430,33619.04,68402,2885.55,5520111,1917825.03,166078,3830.74
Kamle,0,0.00,284692,4844.31,0,0.00,1,0.00,1,0.01,8431,219.97
Kra Daadi,0,0.00,374091,9071.74,0,0.00,11,0.08,0,0.00,17547,496.03
Kurung Kumey,0,0.00,275507,6835.00,0,0.00,14721,853.64,2,0.08,13649,466.93
Leparada,0,0.00,959258,18137.27,0,0.00,3149,238.82,2,0.02,29512,780.23
Lohit,0,0.00,2030476,33791.53,1883,3072.48,1904,358.81,1061,469.91,56811,1436.12
Longding,0,0.00,1291022,26064.10,0,0.00,69,0.41,1,0.01,27843,840.21
Lower Dibang Valley,85,6.06,1679880,29953.02,321703,12227.26,34221,1554.15,5016938,1254070.01,63589,1627.41
Lower Siang,0,0.00,1121385,18204.49,1,0.01,7,0.22,0,0.00,37679,954.93
Lower Subansiri,93,6.52,2794752,52737.10,244936,10754.69,13407,870.85,73922,346974.69,104361,2670.78
Namsai,891,435.36,2021712,35607.18,1022,950.16,7955,315.20,688,1259.11,87972,1945.18
Papum Pare,7688,2207.51,15194748,298119.06,2841338,122944.77,478745,27474.27,16194479,7001706.40,1061719,30378.41
Shi Yomi,0,0.00,154026,2544.50,0,0.00,2007,87.72,0,0.00,7315,237.47
Siang,0,0.00,515500,7716.02,0,0.00,0,0.00,0,0.00,15158,372.87
Tawang,265,70.21,1208383,29374.06,311926,12010.13,25365,1281.08,2823993,663965.02,57661,2084.38
Tirap,0,0.00,1723739,34939.85,0,0.00,1227,63.34,25,1.77,59997,1647.33
Upper Siang,0,0.01,822097,17604.75,0,0.00,7233,361.65,1,0.00,22640,615.28
Upper Subansiri,0,0.00,1788470,33617.15,925,1723.34,11881,722.97,469,893.54,60213,1822.30
West Kameng,497,78.10,3535510,75772.67,181005,9864.85,14611,1088.07,13703,443271.30,177483,4866.66
West Siang,286,25.49,2618163,47033.47,271774,11591.85,45837,2012.36,32539,649602.50,96537,2305.77
