district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.00,0,0.59,1,5.39,10.95,3
Changlang,0.00,0,12.50,3,13.14,7,23.33,56.33,18
East Kameng,4.84,1,41.24,7,20.53,8,51.13,40.15,13
East Siang,0.00,0,26.56,7,44.75,15,79.73,56.13,31
Kamle,0.00,0,0.00,0,34.53,9,52.48,65.80,16
Kra Daadi,7.64,1,7.64,1,62.90,16,45.19,139.19,29
Kurung Kumey,0.00,0,0.00,0,90.59,38,67.26,134.69,49
Leparada,0.00,0,42.75,4,16.99,4,15.18,111.96,18
Lohit,0.00,0,6.30,1,6.74,2,20.67,32.61,15
Longding,7.80,2,9.50,2,4.45,1,11.84,37.57,6
Lower Dibang Valley,0.00,0,0.00,0,0.00,0,0.00,11.61,2
Lower Siang,0.00,0,47.50,3,0.00,0,0.00,67.40,8
Lower Subansiri,72.63,9,234.22,33,144.71,45,47.87,302.31,88
Namsai,8.05,2,9.69,2,27.17,10,30.39,89.39,46
Papum Pare,894.21,107,1106.49,127,310.94,135,16.95,1834.20,398
Shi Yomi,0.00,0,0.00,0,31.53,14,65.37,48.23,17
Siang,5.00,1,9.49,1,14.66,8,18.87,77.70,19
Tawang,16.95,4,47.12,9,5.93,3,6.58,90.15,26
Tirap,0.00,0,14.96,3,9.72,4,81.61,11.91,8
Upper Siang,0.00,0,0.00,0,12.79,4,33.88,37.75,11
Upper Subansiri,46.20,5,200.14,33,150.17,39,65.03,230.91,57
West Kameng,112.02,13,240.61,31,11.19,10,2.73,409.82,86
West Siang,28.81,4,47.21,4,58.44,11,32.40,180.38,35
