District,Col_1,Col_2,Col_3,Col_4
Araria,26364,406,43,
Aurangabad,13012,24,127,
Banka,4480,163,104,
Begusarai,11943,79,153,
Bhagalpur,16841,306,304,
Bhojpur,13023,53,24,
Buxar,12221,45,,
Darbhanga,18091,16147,,
Gaya,1,12504,122,
Gopalganj,11440,710,37,
Jamui,10252,470,251,
Kaimur (Bhabua),22,15,,
Katihar,22151,404,27,
Khagaria,7,6656,117,
Kishanganj,42658,231,21,
Lakhisarai,9,5192,70,
Madhepura,7191,502,,
Madhubani,1,33,,
Munger,9207,899,549,
Muzaffarpur,20339,895,305,
Nalanda,10045,,,
Nawada,8798,887,50,
Pashchim Champaran,12060,737,50,
Patna,68911,212,,
Purbi Champaran,0,32883,1008,
Purnia,7,21156,425,25
Rohtas,18926,38,26,
Saharsa,286,,,
Samastipur,17285,42,147,
Saran,14119,958,48,
Sheikhpura,3154,158,47,
Sheohar,1399,148,21,
Sitamarhi,11883,7263,,
Siwan,18098,801,36,
Supaul,342,24,,
Vaishali,8215,757,32,
