District,Branch,Deposits,Advances,CD Ratio
Araria,,242014,,57.72
Arwal,,48854,,30.30
Aurangabad,,310562,,41.31
Begusarai,,440522,,53.43
Bhagalpur,,,,36.97
Bhojpur,,,,29.54
Buxar,,219571,,40.01
Darbhanga,,355686,,31.69
Gaya,,588517,,38.86
Gopalganj,,242590,,32.35
Jehanabad,,101800,,31.33
Kaimur (Bhabua),,205820,,58.56
Khagaria,,178947,,58.33
Kishanganj,,179846,,
Lakhisarai,,101597,,35.53
Madhepura,,151407,,47.70
Madhubani,,281077,,32.32
Muzaffarpur,,1775583,850941,47.92
Nalanda,,968873,322843,33.32
Nawada,,475442,194613,40.93
Pashchim Champaran,,609370,333205,54.68
Patna,,17905661,3964982,33.63
Purbi Champaran,,463866,,49.77
Purnia,,619190,449558,
Rohtas,,888214,398263,44.84
Saharsa,,387830,185304,47.78
Samastipur,,972108,454952,46.80
Saran,,1264832,341257,26.98
Sheikhpura,,173167,71425,41.25
Sheohar,,88392,54443,61.59
Sitamarhi,,580732,223778,38.53
Siwan,,1509641,404300,35.13
Supaul,,365831,,
Vaishali,,951240,527462,55.45
