District,ATMs Previous,Opened During Quarter,Closed During Quarter,Total ATMs
Araria,0,2,1470941,41485
Arwal,0,0,392466,30769
Aurangabad,1,1,1653075,69663
Banka,0,743099,12715,
Begusarai,0,1529577,33896,
Bhagalpur,0,3,1580136,16306
Bhojpur,0,2,1537850,46234
Buxar,2,1,1044208,38304
Darbhanga,0,2299729,36504,
Gaya,6,4,2702972,66520
Gopalganj,1,1679585,79718,
Jamui,0,920135,13227,
Jehanabad,0,641887,15663,
Kaimur (Bhabua),0,1,1027322,54708
Katihar,0,1614825,39880,
Khagaria,0,0,633835,8225
Kishanganj,1,1062226,30436,
Lakhisarai,0,0,452383,9195
Madhepura,0,1326867,40202,
Madhubani,8,1,2317355,63297
Munger,0,723711,4444,
Muzaffarpur,0,2789257,12941,
Nalanda,1,1,1549119,53475
Nawada,1,1296963,51908,
Pashchim Champaran,0,2,2405848,85886
Patna,1,5236766,51189,
Purbi Champaran,1,1,2971792,
Purnia,3,1,2339082,50347
Rohtas,0,3,1840837,60254
Samastipur,1,3,2452787,36713
Saran,0,2654945,51513,
Sheikhpura,0,0,296757,3852
Sheohar,0,0,180277,10345
Sitamarhi,1595495,39434,,
Siwan,0,0,1876132,55472
Supaul,2,1450703,47900,
Vaishali,4,0,1993297,75580
