District,Col_1,Col_2
Araria,397468,
Arwal,66900,
Aurangabad,409744,186076
Banka,86795,
Begusarai,194077,
Bhojpur,406288,
Buxar,299933,150992
Darbhanga,684880,250458
Gaya,176071,654939
Gopalganj,546680,130997
Jamui,206952,
Kishanganj,362728,256533
Lakhisarai,157784,48844
Nalanda,508944,152906
Nawada,387821,82429
Purbi Champaran,953322,258967
