District,Agriculture,KCC,Industries,Education Loan,Housing Loan,Other Priority Sector,Priority Sec. Total,Non-Priority,Grand Total,SHG Linkage,Jlg
Thoubal,7200.00,8600,2500.00,64,80,1800.00,12220.00,5300.00,17520.00,380,150
Chandel,3700.00,4700,1120.00,12,30,1500.00,6680.00,2050.00,8730.00,140,70
Churachandpur,8500.00,8000,1400.00,141,280,2900.00,14650.00,1900.00,16550.00,320,160
Senapati,4521.43,3800,2081.66,66,90,3629.00,11028.84,3080.00,14108.84,400,50
Imphal West,13500.00,18000,5800.00,440,1769,14000.00,44700.00,15500.00,60200.00,1040,520
Imphal East,8500.00,10000,2250.00,80,240,3300.00,15650.00,750.00,16400.00,540,270
Bishnupur,7350.00,8900,1100.00,14,40,1500.00,10220.00,800.00,11020.00,240,120
Tamenglong,4420.00,6200,450.00,12,0,550.00,5480.00,300.00,5780.00,100,50
Ukhrul,1250.00,1300,450.00,16,0,500.00,2280.00,300.00,2580.00,140,70
