District,Deposit,Advance,CD ratio Norm 60%,Crop Loan/KCC,% of Agri. Advto Nbc 18%,Total Priority Sector Advances,District
Bishnupur,11279.95,91,1275.54,25,7619.34,68,12433.20
Chandel,8439.82,86,613.11,15,4913.13,58,9806.31
Churachandpur,16619.98,46,618.47,20,11385.06,69,36241.98
Imphal East,24674.70,53,1518.08,16,17602.05,71,46538.94
Imphal West,164774.32,44,5999.53,12,111564.72,68,377005.28
Senapati,20449.72,85,829.66,17,11706.72,57,23962.34
Tamenglong,1898.11,23,10.38,42,1635.58,86,8126.40
Thoubal,17583.73,68,2001.28,32,12749.96,73,25741.04
Ukhrul,4168.07,35,50.77,27,2957.67,71,12003.43
