district,No of SHGs formed,No of women SHGs,No of SHGs taken up economic activities
Bishnupur,2464,2213,2187
Chandel,996,897,922
Churachandpur,2307,2176,1836
Imphal East,2832,2570,2460
Imphal West,6803,5932,5256
Senapati,3801,3670,3237
Tamenglong,997,815,699
Thoubal,5400,5113,4345
Ukhrul,1438,1318,1285
