District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,,537899,438648,81.55
Arwal,64,,,42.49
Aurangabad,199,532868,,64.50
Banka,125,219992,,47.71
Bhagalpur,283,,,47.61
Bhojpur,242,514797,,
Buxar,157,297902,41.50,43.17
Darbhanga,254,690679,,
Gaya,315,1018951,,51.95
Gopalganj,189,448075,,48.66
Jamui,125,247229,,50.18
Jehanabad,95,173746,,41.87
Kaimur (Bhabua),123,252420,,56.84
Katihar,190,560142,,74.06
Khagaria,118,257688,,61.61
Kishanganj,110,272858,,73.42
Lakhisarai,86,154631,,43.61
Madhepura,125,298353,,71.81
Madhubani,284,537149,,52.14
Munger,139,263353,,31.83
Muzaffarpur,395,,,
Nalanda,257,491568,,40.34
Nawada,146,302083,,
Pashchim Champaran,226,753834,574891,76.26
Patna,961,7535277,,47.85
Purbi Champaran,300,866899,,75.16
Purnia,235,,,
Rohtas,244,554050,,49.83
Saharsa,107,304613,,60.46
Samastipur,304,737766,,60.42
Saran,268,,,
Sheikhpura,64,107285,,47.46
Sitamarhi,167,429500,,59.87
Siwan,253,106861,,49.55
Supaul,125,296918,,63.12
Vaishali,260,,,74.79
