District,ATMs on 31.12,Opened During Quarter
Arwal,28.40,67.46
Banka,28.39,70.46
Begusarai,64.39,
Bhagalpur,70.87,
Bhojpur,76.45,
Buxar,74.12,
Darbhanga,69.74,
Gopalganj,58.78,
Jamui,78.03,
Jehanabad,60.24,
Madhubani,11.52,87.06
Munger,15.76,81.06
Nalanda,34.89,
Purnia,22.16,76.01
Rohtas,81.79,
Saran,80.20,
Sheikhpura,23.66,71.50
Sheohar,33.12,60.12
Siwan,68.57,
