District,Col_1,Col_2
Araria,18.08,2023
Arwal,19.09,2023
Banka,2023,
Bhagalpur,04.09,2023
Bhojpur,05.09,2023
Buxar,15.09,2023
Darbhanga,23.08,2023
Gopalganj,27.09,2023
Jamui,30.09,2023
Jehanabad,05.08,2023
Kaimur (Bhabua),14.08,2023
Katihar,19.08,2023
Lakhisarai,27.09,2023
Madhepura,29.09,2023
Madhubani,24.08,2023
Munger,28.08,2023
Muzaffarpur,01.09,2023
Nawada,0129.0,231
Purbi Champaran,27.09,2023
Purnia,2023,
Rohtas,05.09,2023
Samastipur,2023,
Saran,12.08,2023
Sheikhpura,2023,
Sheohar,14.09,2023
Siwan,31.08,2023
Vaishali,25.09,2023
