District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6
Araria,1463,693,36647,6634,1269621,36113
Arwal,288,101,10309,805,324790,23343
Aurangabad,1015,418,43850,3740,1024273,45549
Banka,34747,,,,,
Begusarai,725,41525,5827,1039664,48184,
Bhagalpur,513,36881,7049,839152,38297,
Bhojpur,1433,131,62714,6020,2109882,94564
Buxar,942,191,28887,4483,838603,31508
Darbhanga,1380,48266,4780,828373,40880,
Gopalganj,2426,596,50058,3950,639770,64981
Madhepura,1043,33593,1100,328870,16233,
Munger,553,175,16895,957,255591,32065
Muzaffarpur,2518,1283,54060,14274,2162945,63254
Nalanda,1450,274,36492,5133,1431016,65633
Nawada,1421,516,29614,7117,1370539,66267
Rohtas,1020,643,48838,8001,1323795,54726
