District,Col_1
Bhagalpur,259
Bhojpur,380
Buxar,282
Darbhanga,257
Gaya,507
Gopalganj,285
Jamui,208
Jehanabad,152
Kaimur (Bhabua),239
Khagaria,151
Kishanganj,104
Madhepura,144
Madhubani,247
Munger,225
Purbi Champaran,263
Sheikhpura,106
Sheohar,74
Siwan,292
Vaishali,335
