district,Crop Loan Achievement,Insurance Number (PMFBY),Insurance Amount (PMFBY),Insurance Number (Others),Insurance Amount (Others)
Baksa,804.02,415,59.16,237,1.09
Barpeta,6097.06,2854,866.9,1289,6.37
Biswanath,1052.24,0,0,0,0
Bongaigaon,811.75,401,5.39,377,1.61
Cachar,4530.39,1092,71.19,537,2
Charaideo,202.02,0,0,0,0
Chirang,564.74,2,0.68,0,0
Darrang,4162.32,1627,797.67,400,2.53
Dhemaji,1788.99,202,16.88,0,0
Dhubri,2757.03,375,18.86,301,0.84
Dibrugarh,10048.06,1612,252.58,1153,5.53
Dima Hasao,68.46,0,0,0,0
Goalpara,1413.28,639,113.61,285,1.28
Golaghat,9764.56,912,129.65,758,3.4
Hailakandi,1215.99,919,521.34,0,0
Hojai,2503.64,265,2.1,0,0
Jorhat,5620.25,1921,287.27,1293,5.59
Kamrup,12417.75,3922,261.91,3374,18.59
Kamrup Metro,1.47,185,0.31,0,0
Karbi Anglong,1225.92,579,163.09,0,0
Karimganj,1606.93,563,40.93,370,1.25
Kokrajhar,306.79,172,120.24,0,0
Lakhimpur,4757.75,1629,194.34,6,0.02
Majuli,184.18,0,0,0,0
Morigaon,2120.94,1287,347.76,260,1.55
Nagaon,17093.77,8397,227.11,7719,37.09
Nalbari,4440.93,2481,167.32,1812,7.12
Sivasagar,3507.83,1089,163.89,804,3.28
Sonitpur,4476.78,2774,238.94,2320,12.12
South Salmara,74.69,0,0,0,0
Tinsukia,8928.04,4048,1568.81,2470,12.64
Udalguri,5827.96,275,52.9,0,0
West Karbi Anglong,1361.34,32,0.03,0,0
