district,Target,Disbursement No,Disbursement Amount,O/S No,O/S Amount
Baksa,617,80,94.34,118,79.66
Barpeta,878,229,327.44,820,482.31
Biswanath,1242,210,271.54,563,494.28
Bongaigaon,728,191,256.18,535,456.49
Cachar,550,137,106.41,877,348.83
Charaideo,625,155,149.39,165,60.74
Chirang,1352,232,324.85,437,361.55
Darrang,775,96,99.37,477,196.32
Dhemaji,1434,320,274.72,992,318.27
Dhubri,618,36,18.68,404,182.75
Dibrugarh,1321,284,263.9,527,245.99
Dima Hasao,396,2,1.97,28,16.96
Goalpara,912,232,274.95,905,603.53
Golaghat,1014,455,497.41,719,441.49
Hailakandi,490,52,47.05,430,199.17
Hojai,526,300,295.95,1079,398.09
Jorhat,1499,479,640.12,958,580.28
Kamrup Metro,1196,152,185.14,455,371.53
Karbi Anglong,1022,78,47.24,344,197.15
Karimganj,420,89,54.51,765,313.04
Kokrajhar,1104,106,107.32,151,113.07
Lakhimpur,784,299,264.06,1454,495.24
Majuli,520,104,115.29,161,96.56
Morigaon,534,251,197.41,1872,838.12
Nagaon,2107,942,1163.32,1365,783.73
Nalbari,1320,211,357.99,308,225.18
Sivasagar,523,186,191.8,708,484.78
Sonitpur,1436,241,261.68,744,360.59
South Salmara,247,15,13.39,4,1.24
Tinsukia,1499,695,551.35,925,385.76
Udalguri,1251,72,89.24,214,137.24
West Karbi Anglong,778,38,19.65,170,73.31
