district,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Baksa,1067,480.77,15745,7057.39
Barpeta,5715,2728.23,51908,24517.01
Biswanath,1773,1095.95,18498,9620.11
Bongaigaon,1765,890.02,18153,8226.01
Cachar,7118,4738.16,51940,29438.9
Charaideo,594,342.87,9572,5047.83
Chirang,727,424.62,12321,6022.04
Darrang,6780,3529.5,33196,16336.7
Dhemaji,3229,1855.25,21039,10328.85
Dhubri,4581,2750.2,32271,15774.37
Dibrugarh,15454,8738.52,68671,36369.93
Dima Hasao,384,110.65,2361,806.53
Goalpara,1466,730.69,24316,9713.29
Golaghat,11005,5292.55,58043,27729.92
Hailakandi,910,517.42,18492,8937.88
Hojai,2897,1742.88,23244,13565.11
Jorhat,7455,3318.24,44311,20687.94
Kamrup Metro,7724,4238.72,69231,35269.83
Karbi Anglong,4072,1608.95,27258,10876.33
Karimganj,2386,1139.93,26239,12827.65
Kokrajhar,677,345.98,19700,8147.04
Lakhimpur,9290,5734.29,47336,25799.86
Majuli,394,170.55,3424,1389.57
Morigaon,2923,1528.3,36739,19194.06
Nagaon,11475,5283.56,85789,40355.39
Nalbari,3002,1235.66,31538,12584.92
Sivasagar,6863,2879.57,36408,15597.04
Sonitpur,3303,1934.65,35381,19933.39
South Salmara,183,79.97,953,345.86
Tinsukia,9561,5326.74,51720,30831.72
Udalguri,2039,1661.71,29581,16670.93
West Karbi Anglong,2284,1050.5,13870,5511.45
