district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Baksa,467,646.51,4663,3388.79,4,15.76,152,122.5,0,0,22,24,0,0,9,17.13,0,0,0,0,0,0,17,15.04,471,662.27,4863,3567.46
Barpeta,26554,22549.07,82999,55433.18,41,76.88,317,251.87,3,14.38,39,53.93,8,3.67,21,11.33,1,0.7,3,3.28,1,2,25,64.65,26608,22646.7,83404,55818.24
Biswanath,135,97.85,3232,1926.29,11,13.95,665,223.12,3,7.84,22,44,0,0,0,0.26,0,0,5,3.89,0,0,6,18,149,119.64,3930,2215.56
Bongaigaon,11325,10318.03,27482,21053.27,784,573.64,1313,796.17,1,7.33,45,69.47,42,32.02,77,45.44,0,0,0,0,5,38,29,214.45,12157,10969.02,28946,22178.8
Cachar,22675,21928.49,79173,53548.55,918,2527.76,2180,2260.11,7,65.55,33,81.64,6,4.78,29,22.9,0,0,4,0.49,8,107.16,39,308.87,23614,24633.74,81458,56222.56
Charaideo,541,510.05,1287,752.56,69,34.17,149,47.09,1,0.4,3,2.19,4,2.65,32,11.07,0,0,1,0.26,0,0,1,0.03,615,547.27,1473,813.2
Chirang,2513,2550.59,7210,5316.9,63,127.1,2195,1588.07,0,0,0,0,0,0,8,7.21,0,0,4,3.9,0,0,3,7,2576,2677.69,9420,6923.08
Darrang,14549,10753.04,41764,24691.42,62,79.25,176,201.33,1,7.65,58,59.14,10,22.97,27,29.21,1,0.39,2,0.42,9,46.31,21,34.1,14632,10909.61,42048,25015.62
Dhemaji,212,188,1870,1962.54,33,81.53,294,289.25,3,7.34,94,568.85,1,3.57,96,169.28,0,0,3,6.12,1,3,528,1549.08,250,283.44,2885,4545.12
Dhubri,37580,32213.3,86710,57845.15,311,225.59,961,787.5,5,65.94,19,49.21,13,8.98,25,11.49,2,1.9,2,1.67,8,18.9,35,121.16,37919,32534.61,87752,58816.18
Dibrugarh,4064,4042.06,16381,16613.02,318,786.52,2342,1919.96,47,85.93,407,1827.88,10,8.09,291,224.6,0,0,31,20.46,33,171.68,1205,9244.78,4472,5094.28,20657,29850.7
Dima Hasao,56,187.3,596,695.98,583,1703.11,1569,3034.69,2,11.83,25,147.49,0,0,54,57.73,0,0,0,0,0,0,0,0,641,1902.24,2244,3935.89
Goalpara,4407,5560.2,20662,19119.43,1025,819.97,3310,2810.44,1,2.24,13,16.12,9,5.83,24,13.89,0,0,2,0.63,7,5.46,19,40.13,5449,6393.7,24030,22000.64
Golaghat,4716,3955.19,13987,9313.69,434,751.07,2398,1327.62,14,56.12,178,527.24,65,71.94,229,221.04,1,0.7,14,17.84,2,22,92,1881.26,5232,4857.02,16898,13288.69
Hailakandi,4766,5387.14,26679,18750.07,29,41.59,214,227.95,0,0,25,21,1,0.8,14,16.75,0,0,0,0,1,0.45,17,47.9,4797,5429.98,26949,19063.67
Hojai,686,641.82,13942,8002.66,6,4.75,187,95.89,2,4,24,39,0,0,0,0,0,0,0,0,0,0,12,42,694,650.57,14165,8179.55
Jorhat,4249,3679.27,14285,9547.35,398,552.06,1192,1153.88,26,76.18,135,1124.63,109,68.62,159,473.74,40,0,20,21.17,54,656.98,319,2067.25,4876,5033.11,16110,14388.02
Kamrup Metro,24985,21173.41,74539,46781.44,327,646.63,1241,1472.81,51,604.04,193,1558.86,14,19.7,76,110.3,1,0.02,2,1.62,8,382.69,49,781.78,25386,22826.49,76100,50706.81
Karbi Anglong,133,304.37,875,910.71,946,562.8,1941,1752.89,17,14.59,43,40.18,3,10.81,32,46.17,0,0,0,0,0,0,0,0,1099,892.57,2891,2749.95
Karimganj,13729,9406.58,42973,24236.11,346,279.47,597,399.96,7,24.47,57,161.87,2,2.5,9,4.37,0,0,0,0,0,0,21,98.57,14084,9713.02,43657,24900.88
Kokrajhar,316,882.52,6264,5290.52,84,166.1,2975,1944.3,0,0,16,17.51,1,4.66,6,9.02,0,0,2,0.48,1,4.8,9,39.54,402,1058.08,9272,7301.37
Lakhimpur,6518,4024.8,21175,11863.39,276,145.9,1108,593.45,20,44.72,163,485.17,2,1.2,71,76.67,0,0,35,19.63,0,0,115,1666.28,6816,4216.62,22667,14704.59
Majuli,29,24.81,589,322.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24.81,589,322.62
Morigaon,15386,10713.11,49696,24634.03,63,57.76,314,225.26,1,2.85,15,14.59,4,9.9,20,26.67,0,0,2,0.6,0,0,2,1.25,15454,10783.62,50049,24902.4
Nagaon,41784,31641.85,115210,66884.26,197,1449.96,758,946.85,26,72.88,258,551.57,6,19.88,33,43.25,0,0,2,0.23,30,106.66,72,239.85,42043,33291.23,116333,68666.01
Nalbari,6266,5385.35,22816,13905.67,4,2.62,106,75.16,0,0,26,35.69,8,3,34,12,0,0,2,0.72,6,82.18,16,15.82,6284,5473.15,23000,14045.06
Sivasagar,5809,5761.95,16425,13361.82,161,108.32,623,906.94,8,4.61,111,152.4,52,40.25,145,151.62,0,0,23,32.47,14,50.95,132,1046.58,6044,5966.08,17459,15651.83
Sonitpur,15497,11605.03,42432,22113.92,420,888.18,1180,940.82,6,11.07,102,229.05,15,33.49,131,151.36,16,8.54,27,10.94,15,40,32,159.37,15969,12586.31,43904,23605.46
South Salmara,102,92.8,1205,1369.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,92.8,1205,1369.94
Tinsukia,2338,2006.84,8278,6878.49,369,5035.43,1018,1799.77,17,56.33,185,465.44,97,171.53,478,952.87,1,0.55,22,18.8,20,86.66,485,584.78,2842,7357.34,10466,10700.15
Udalguri,184,646.78,3386,2940.77,405,1223.4,4092,6996.42,1,6.35,27,30.64,0,0,7,5.41,0,0,4,2.17,0,0,1,0.23,590,1876.53,7517,9975.64
West Karbi Anglong,5,0.8,201,165,195,200,11410,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200.8,11611,965
