District,Target,Disbursement No.,Disbursement Amt,O/S No.,O/S Amt
Baksa,153,47,40.75,367,509.26
Barpeta,165,75,105.6,649,1024.94
Biswanath,87,5,8.94,50,85.23
Bongaigaon,147,22,31.35,329,286.58
Cachar,25,48,60.45,719,903.48
Charaideo,76,10,27,0,0
Chirang,128,104,107.28,391,486.65
Darrang,148,72,51.42,340,466.92
Dhemaji,151,55,96.04,573,1104.52
Dhubri,160,120,211.96,658,826.5
Dibrugarh,132,58,84.19,933,1411.37
Dima Hasao,21,39,39.03,198,276.88
Goalpara,137,25,20.98,555,648.99
Golaghat,149,32,38.96,625,995.76
Hailakandi,26,36,34.87,505,547.95
Hojai,101,17,37.39,412,383.22
Jorhat,149,53,66.14,624,918.28
Kamrup Metro,229,75,99.34,827,1084.2
Karbi Anglong,26,19,22.51,383,366.58
Karimganj,21,53,47.76,182,306.88
Kokrajhar,156,119,130.84,545,672.04
Lakhimpur,102,38,46.86,360,638.33
Majuli,78,6,8.79,0,0
Morigaon,121,23,18.14,221,344.62
Nagaon,137,53,110.97,561,1185.46
Nalbari,145,72,87.61,482,833.55
Sivasagar,118,64,97.91,229,580.48
Sonitpur,136,47,53.95,393,697.55
South Salmara,121,14,24.86,0,0
Tinsukia,107,40,53.61,607,1093.04
Udalguri,147,72,80.2,447,462.86
West Karbi Anglong,24,0,0,1,0.2
