District,Crop Production,Water Resource,Farm,Plantation,Animal Husbandry,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,Msme Term,Msme Working,Msme Total,Export Credit,Education,Housing,Renewable Energy,Social Infra,Other Priority Sector Total,Districtwise Total Acp Acheivement
Baksa,790.91,20.15,99.96,32.53,171.03,328.49,10.75,58.8,1512.62,535.65,1029.66,1565.31,0,19.77,1211.62,34.17,0.19,1265.75,4343.68
Barpeta,4968.3,74.86,314.23,40.95,6225.95,7059.62,190.93,1917.22,20792.06,35476.97,2382.02,37858.99,0,88.13,6376.23,263,8.47,6735.83,65386.880000000005
Biswanath,1059.59,0,27.41,101.73,35.11,311.79,0,288.13,1823.76,164.01,186.75,350.76,0,20.57,45.25,210.68,0,276.5,2451.02
Bongaigaon,1874.2,40.6,31.46,7.08,1336.13,1852.12,21.4,765.05,5928.04,15285.54,1617.69,16903.23,0,110.23,4011.85,559.03,2.55,4683.66,27514.93
Cachar,6168.44,101.47,157.41,94.74,3205.4,4745.32,28.28,3449.05,17950.11,39262.59,6088.38,45350.97,0,247.88,4095.86,180.91,6.69,4531.34,67832.42
Charaideo,340.1,0,0,91.06,728.97,2970.94,0,532.23,4663.3,2717.88,288.21,3006.09,0,12.24,52.79,533.01,0,598.04,8267.43
Chirang,420.49,0,3.8,9.36,168.59,1265.07,0,329.89,2197.2,4587.38,666.05,5253.43,0.42,5.91,1107.26,13.46,0,1127.05,8577.68
Darrang,5890.83,48.37,267.71,99.48,1992.92,3136.21,93.89,1266.75,12796.16,10175.85,1609.81,11785.66,0,127.17,2388.63,416.15,11.97,2943.92,27525.739999999998
Dhemaji,1911.08,0,44.58,10.78,367.8,890.28,0,482.62,3707.14,4334.54,669.72,5004.26,0,24.61,4125.82,44.04,0,4194.47,12905.869999999999
Dhubri,2974.44,9.97,86.57,50.36,3128.33,10038.96,5.03,958.17,17251.83,26269.19,847.14,27116.33,56,113.41,3909.09,1273.91,110.04,5462.45,49830.61
Dibrugarh,10458.24,14.38,293.72,198.03,3058.26,11642.72,24.59,2489.59,28179.53,20166.52,6689.1,26855.62,0,212.71,6359.57,1408.21,18.58,7999.07,63034.219999999994
Dima Hasao,258.32,0,0,0.16,154.76,86.34,0,33,532.58,336.8,680.15,1016.95,0,14.5,1183.78,1.85,0,1200.13,2749.6600000000003
Goalpara,894.27,33.89,131.75,175.89,484.8,1797.22,6.3,968.69,4492.81,5053.85,743.21,5797.06,0,48.34,1805.32,24.77,5.23,1883.66,12173.53
Golaghat,7271.47,25.73,198.58,234.66,3480.08,14233.01,30.32,2035.64,27509.49,14473.93,2550.97,17024.9,0,156.56,5239.28,672.67,5.39,6073.9,50608.29
Hailakandi,1784.7,33.03,166,173.1,811.06,987.53,68.91,700,4724.33,4170.95,1073.52,5244.47,0,24.28,1744.24,181.56,2.15,1952.23,11921.029999999999
Hojai,1825.47,0,66.03,32.71,72.06,193.05,0,153.68,2343,503.51,528.65,1032.16,0,28.34,153.05,0.6,0,181.99,3557.1499999999996
Jorhat,5313.91,44.08,141.33,208.85,6511.32,13735.4,295.75,6945.48,33196.12,24699.47,4870.97,29570.44,13.85,265.33,8513.16,1283.02,4.39,10079.75,72846.31
Kamrup Metro,4881.28,10.66,236.33,149.28,5374.05,8345.58,20.72,1460.29,20478.19,40120.87,7292.64,47413.51,0,424.25,5679.12,2144.18,2.45,8250,76141.7
Karbi Anglong,2796.89,0,20.02,6.07,802.9,535.43,0,39.1,4200.41,724.29,915.39,1639.68,0,26.98,6336.32,0.32,0,6363.62,12203.71
Karimganj,1176.03,7.88,10.71,5.45,1533.84,3042.31,2.99,1544.36,7323.57,17755.11,2060.8,19815.91,0,67.1,1121.27,486.66,5.12,1680.15,28819.63
