district,Tot NPA MSME Amt. (PS),Tot NPA MSME No. (PS),Amt MSME Other,No MSME Other,KVIC Amt,No KVIC,Medium Amt,No Medium,Small Amt,Small No,Micro Amt,Micro No
East Garo Hills,336.56,695,16.88,7,17.42,15,0,0,1.26,1,301,672
East Jaintia Hills,1229.33,361,4.34,1,10.11,4,0,0,433.8,32,781.08,324
East Khasi Hills,11409.44,3073,22.28,12,176.93,53,2011,6,1607.15,153,7592.08,2849
North Garo Hills,343.57,417,3.74,2,0,0,0,0,0,0,339.83,415
Ri Bhoi,1486.03,1116,54.58,27,48.45,34,0,0,212.35,32,1170.65,1023
South Garo Hills,301.94,278,4.56,3,11.39,13,0,0,0,0,285.99,262
West Garo Hills,1907.35,1985,70.84,23,22.21,12,0,0,174.7,57,1639.6,1893
West Jaintia Hills,2767.23,885,8.75,16,14.77,13,207.63,5,1101.41,88,1434.67,763
West Khasi Hills,679.22,395,2.48,1,16,13,0,0,29.75,4,630.99,377
