district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
East Garo Hills,4495,7567.2,987,1982.31
East Jaintia Hills,2209,5990.14,514,1907.09
East Khasi Hills,59707,151011.89,12886,33537.48
Eastern West Khasi Hills,5989,5901.11,1162,1202.84
North Garo Hills,2884,5343.04,335,1134.6
Ri Bhoi,26177,38165.9,2952,7987.54
South Garo Hills,1178,3753.85,226,1139.32
South West Garo Hills,3723,5300.63,558,979.63
South West Khasi Hills,2145,3278.49,356,743.94
West Garo Hills,15391,34260.82,3305,7721.53
West Jaintia Hills,8738,17501.81,1974,4126.96
West Khasi Hills,5178,7324.84,861,1628.97
