district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,No. Infra Social,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,710.61,140,0.25,2,0,0,20.2,7,583.84,93,106.32,38,0,0
East Khasi Hills,45424.3,20309,5736.21,14862,0.53,1,121.07,35,30128.59,3275,9437.9,2136,0,0
Ri Bhoi,10227.66,3810,801.6,2709,0,0,14.66,6,8666.08,821,745.32,274,0,0
West Garo Hills,6982.85,1460,819.82,410,0,0,69.66,19,5497.69,805,595.68,226,0,0
West Khasi Hills,1436.93,319,151.33,31,0,0,2.61,1,990.98,145,292.01,142,0,0
