district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Term No Loan,Crop Amt,Crop No
East Garo Hills,1231.86,3391,0.26,1,367.08,1365,17.09,40,847.43,1985
East Jaintia Hills,206.42,522,27.5,21,110.17,413,28.42,44,40.33,44
East Khasi Hills,4858.83,6190,1236.71,116,1062.25,811,189.89,354,2369.98,4909
North Garo Hills,1870.48,4674,19.82,12,471.66,1709,0.17,1,1378.83,2952
Ri Bhoi,8654.41,16258,197.01,271,410.18,1797,171.28,647,7875.94,13543
South Garo Hills,555.53,2290,0,0,237.28,1291,19.36,52,298.89,947
South West Garo Hills,2368.82,5147,0,0,1079.34,1912,11.86,37,1277.62,3198
South West Khasi Hills,188.76,508,0,0,24.37,119,6.82,9,157.57,380
West Garo Hills,2928.8,8273,2.54,3,575.36,2776,140.16,322,2210.74,5172
West Jaintia Hills,1137.59,2114,132.37,86,125.44,348,35.01,62,844.77,1618
West Khasi Hills,1936.81,3499,0,0,77.45,455,33.85,54,1825.51,2990
