district,Of Amt student which OS girl,OS amt,Of No student which OS girl,OS No,Of student Amt which Disb girl,Disb. Amt,Of dent girl No Disb stu- which,Disb. Number,girl Of Amt which Sanctioned student,Amt tioned Sanc-,Of dent girl tioned No Sanc- stu- which,No tioned Sanc-
East Garo Hills,29.37,103.81,13,38,11.99,21.16,4,7,0,3.42,0,1
East Jaintia Hills,71.76,147.68,25,46,3.34,8.44,1,3,0,2.16,0,1
East Khasi Hills,5179.48,14792.61,1528,2415,882.71,2692.54,199,557,1009.64,5531.18,85,264
North Garo Hills,16.41,39,3,12,0,1.13,0,1,0,0,0,0
Ri Bhoi,523.16,835.41,189,271,27.23,59.59,15,36,19.97,40.36,10,20
South Garo Hills,9.46,24.18,3,7,0,5.92,0,2,0,0,0,0
South West Garo Hills,23.54,25.74,11,13,10.04,12.24,6,8,5.49,7.69,4,6
South West Khasi Hills,66.57,107.07,34,52,13.06,21.43,9,14,5.69,7.63,4,6
West Garo Hills,282.65,697,106,227,33.41,157.54,20,47,10.64,32.7,7,19
West Jaintia Hills,264.26,474.07,99,163,12.58,31.11,8,17,5.21,9.22,3,6
West Khasi Hills,219.29,304.7,104,145,9.85,16.41,9,13,22.95,24.72,7,9
