District,Col_1,Col_2,Col_3
Araria,155,131,239
Arwal,128,221,
Aurangabad,371,444,448
Begusarai,535,173,268
Bhagalpur,927,144,214
Bhojpur,794,364,259
Buxar,256,158,257
Darbhanga,622,223,370
Gaya,296,181,199
Gopalganj,1882,545,507
Jamui,196,,
Jehanabad,33,,
Kaimur (Bhabua),142,73,185
Katihar,1843,933,169
Khagaria,385,79,85
Kishanganj,88,259,
Lakhisarai,182,,
Madhubani,647,565,763
Munger,710,254,373
Muzaffarpur,196,203,277
Nalanda,938,461,535
Pashchim Champaran,3196,1825,222
Patna,609,255,492
Purbi Champaran,4730,1640,1239
Purnia,1304,128,199
Rohtas,437,167,221
Saharsa,278,154,312
Samastipur,732,823,901
Saran,1413,623,501
Sheikhpura,416,269,101
Sheohar,885,623,294
Siwan,384,146,171
Supaul,127,220,305
Vaishali,310,243,307
