District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,167,536018,474461,88.52
Aurangabad,200,840576,549471,65.37
Banka,125,125,463462,51.55
Begusarai,236,1088359,808516,74.29
Bhagalpur,283,1641297,819876,49.95
Bhojpur,242,1246917,540443,43.34
Buxar,157,700156,315698,45.09
Darbhanga,251,,,50.61
Gaya,317,2003136,1092588,54.54
Gopalganj,188,934859,461230,49.34
Jamui,125,508609,126021,51.16
Jehanabad,,418538,182174,43.53
Kaimur (Bhabua),124,458272,276439,60.32
Katihar,189,763901,594497,77.82
Khagaria,118,416850,272386,65.34
Kishanganj,110,381307,297005,77.89
Lakhisarai,86,355463,163092,45.88
Madhepura,125,421046,322061,
Madhubani,285,1048725,566187,53.99
Munger,139,829689,277250,
Muzaffarpur,395,2227536,1666606,74.82
Nalanda,259,1224171,526844,
Nawada,,611269,328382,53.72
Pashchim Champaran,226,762484,610527,80.07
Patna,967,15856345,7745067,48.85
Purbi Champaran,302,1163729,912962,78.45
Purnia,235,824513,,94.19
Rohtas,244,1129297,599606,53.10
Saharsa,,150771,323364,63.69
Samastipur,107,789109,,64.14
Saran,267,1496744,670922,44.83
Sheikhpura,64,228496,150871,50.37
Sheohar,,97355,,79.02
Sitamarhi,167,725499,454992,62.71
Siwan,252,1414044,712655,50.40
Vaishali,124,475500,323229,67.98
