District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10
Araria,7,125,125,,,,,,,
Aurangabad,1,28,162,,,,,,,
Banka,00,,,,,,,,,
Begusarai,20,545,10,226,5,178,25,593,286,
Bhagalpur,13,420,2,1,18,14,419,4,212,
Bhojpur,616,1,399,217,,,,,,
Buxar,105,105,,,,,,,,
Gopalganj,16,260,4,22,18,275,9,156,,
Jamui,4,32,0,32,4,32,,,,
Jehanabad,6,88,101,90,7,108,0,,,
Kaimur (Bhabua),49,2,22,3,62,,,,,
Katihar,10,395,7,74,54,11,415,,,
Khagaria,9,209,1,31,0,10,330,7,243,
Kishanganj,25,254,1,2,10,107,16,149,13,127
Lakhisarai,1,15,2,40,2,40,15,0,,
Madhepura,20,428,61,12,180,15,309,11,210,
Madhubani,4,51,2,19,3,47,3,23,1,16
Munger,9,529,4,84,0,13,613,359,,
Muzaffarpur,50,713,17,392,8,259,59,846,10,176
Nalanda,41,599,9,174,0,0,50,773,15,261
Nawada,2,21,1,0,0,3,29,0,,
Pashchim Champaran,10,234,11,159,1,20,389,5,160,
Patna,30,1464,24,938,18,669,36,1733,14,791
Purbi Champaran,16,401,19,189,10,33,580,15,348,
Purnia,31,549,22,502,9,196,44,855,12,293
Rohtas,48,251,9,138,7,69,50,320,10,100
Saharsa,10,588,135,49,12,674,96,,,
Samastipur,142,2,558,160,7,540,,,,
Sheikhpura,134,,,,,,,,,
Sitamarhi,25,478,21,357,3,43,814,64,0,
Supaul,1,6,0,1,6,,,,,
Vaishali,18,550,178,0,25,728,6,177,,
