District,Col_1,Col_2,Col_3
Bhojpur,1.72,,
Buxar,2.60,,
Darbhanga,0.87,,
Jamui,3.19,,
Jehanabad,129681,,
Kaimur (Bhabua),1.46,,
Lakhisarai,4.33,,
Munger,144649,,
Muzaffarpur,23,847739,3.27
Patna,1.24,,
Purnia,4.16,,
Rohtas,443922,3.87,
Saharsa,1.13,,
Saran,2.05,,
Siwan,267990,2.95,
Supaul,166904,8.95,
Vaishali,3.56,,
